Executable,Threads,Run,ChunkSize,Time
spmv_exp1,1,1,NA,0.000220879
spmv_exp1,1,2,NA,0.000199165
spmv_exp1,1,3,NA,0.000199676
spmv_exp1,1,4,NA,0.000198299
spmv_exp1,1,5,NA,0.000203847
spmv_exp1,1,6,NA,0.000197999
spmv_exp1,1,7,NA,0.000198104
spmv_exp1,1,8,NA,0.000198481
spmv_exp1,1,9,NA,0.000196471
spmv_exp1,1,10,NA,0.000196524
spmv_exp1,2,1,NA,0.0128598
spmv_exp1,2,2,NA,0.0122527
spmv_exp1,2,3,NA,0.0126446
spmv_exp1,2,4,NA,0.0131798
spmv_exp1,2,5,NA,0.0131526
spmv_exp1,2,6,NA,0.0122437
spmv_exp1,2,7,NA,0.0131682
spmv_exp1,2,8,NA,0.00580434
spmv_exp1,2,9,NA,0.000251138
spmv_exp1,2,10,NA,0.000245805
spmv_exp1,4,1,NA,0.0131611
spmv_exp1,4,2,NA,0.0127703
spmv_exp1,4,3,NA,0.0131704
spmv_exp1,4,4,NA,0.0128724
spmv_exp1,4,5,NA,0.0129419
spmv_exp1,4,6,NA,0.012705
spmv_exp1,4,7,NA,0.0248554
spmv_exp1,4,8,NA,0.0125876
spmv_exp1,4,9,NA,0.0124129
spmv_exp1,4,10,NA,0.0130232
spmv_exp1,8,1,NA,0.0130013
spmv_exp1,8,2,NA,0.0125324
spmv_exp1,8,3,NA,0.0128743
spmv_exp1,8,4,NA,0.0127902
spmv_exp1,8,5,NA,0.0128391
spmv_exp1,8,6,NA,0.0123832
spmv_exp1,8,7,NA,0.0123941
spmv_exp1,8,8,NA,0.012693
spmv_exp1,8,9,NA,0.0124363
spmv_exp1,8,10,NA,0.0126771
spmv_exp1,16,1,NA,0.0125528
spmv_exp1,16,2,NA,0.012677
spmv_exp1,16,3,NA,0.014065
spmv_exp1,16,4,NA,0.0125515
spmv_exp1,16,5,NA,0.0125277
spmv_exp1,16,6,NA,0.0126654
spmv_exp1,16,7,NA,0.0127736
spmv_exp1,16,8,NA,0.012885
spmv_exp1,16,9,NA,0.0126195
spmv_exp1,16,10,NA,0.0127588
spmv_exp1,32,1,NA,0.0135743
spmv_exp1,32,2,NA,0.012997
spmv_exp1,32,3,NA,0.0264089
spmv_exp1,32,4,NA,0.0265576
spmv_exp1,32,5,NA,0.0298952
spmv_exp1,32,6,NA,0.0245489
spmv_exp1,32,7,NA,0.0247539
spmv_exp1,32,8,NA,0.0134805
spmv_exp1,32,9,NA,0.0125653
spmv_exp1,32,10,NA,0.0128434
spmv_exp1,64,1,NA,0.0138702
spmv_exp1,64,2,NA,0.0266817
