Executable,Threads,Run,ChunkSize,Time
spmv_exp1,1,1,NA,0.00112497
spmv_exp1,1,2,NA,0.00110691
spmv_exp1,1,3,NA,0.00110372
spmv_exp1,1,4,NA,0.00112156
spmv_exp1,1,5,NA,0.00111184
spmv_exp1,1,6,NA,0.00111395
spmv_exp1,1,7,NA,0.00110928
spmv_exp1,1,8,NA,0.00110532
spmv_exp1,1,9,NA,0.00111087
spmv_exp1,1,10,NA,0.00110331
spmv_exp1,2,1,NA,0.000707137
spmv_exp1,2,2,NA,0.000720615
spmv_exp1,2,3,NA,0.000715278
spmv_exp1,2,4,NA,0.000719711
spmv_exp1,2,5,NA,0.000729907
spmv_exp1,2,6,NA,0.000711939
spmv_exp1,2,7,NA,0.000720375
spmv_exp1,2,8,NA,0.000713241
spmv_exp1,2,9,NA,0.000711995
spmv_exp1,2,10,NA,0.000724753
spmv_exp1,4,1,NA,0.000447971
spmv_exp1,4,2,NA,0.000458775
spmv_exp1,4,3,NA,0.000458668
spmv_exp1,4,4,NA,0.000453673
spmv_exp1,4,5,NA,0.000479627
spmv_exp1,4,6,NA,0.000461622
spmv_exp1,4,7,NA,0.000454522
spmv_exp1,4,8,NA,0.000464306
spmv_exp1,4,9,NA,0.00046103
spmv_exp1,4,10,NA,0.000466702
spmv_exp1,8,1,NA,0.000373711
spmv_exp1,8,2,NA,0.000373131
spmv_exp1,8,3,NA,0.000362759
spmv_exp1,8,4,NA,0.000378941
spmv_exp1,8,5,NA,0.000366678
spmv_exp1,8,6,NA,0.00037987
spmv_exp1,8,7,NA,0.000369879
spmv_exp1,8,8,NA,0.000365899
spmv_exp1,8,9,NA,0.000389371
spmv_exp1,8,10,NA,0.000392709
spmv_exp1,16,1,NA,0.0126342
spmv_exp1,16,2,NA,0.0128051
spmv_exp1,16,3,NA,0.0130843
spmv_exp1,16,4,NA,0.000488559
spmv_exp1,16,5,NA,0.000480138
spmv_exp1,16,6,NA,0.000506005
spmv_exp1,16,7,NA,0.000468942
spmv_exp1,16,8,NA,0.000455228
spmv_exp1,16,9,NA,0.000493015
spmv_exp1,16,10,NA,0.000487008
spmv_exp1,32,1,NA,0.0128582
spmv_exp1,32,2,NA,0.0129175
spmv_exp1,32,3,NA,0.0129112
spmv_exp1,32,4,NA,0.000839096
spmv_exp1,32,5,NA,0.000734766
spmv_exp1,32,6,NA,0.000723477
spmv_exp1,32,7,NA,0.000804487
