Executable,Threads,Run,ChunkSize,Time
spmv_exp1,1,1,NA,0.000337095
spmv_exp1,1,2,NA,0.000328667
spmv_exp1,1,3,NA,0.000329548
spmv_exp1,1,4,NA,0.000324399
spmv_exp1,1,5,NA,0.000331084
spmv_exp1,1,6,NA,0.000328963
spmv_exp1,1,7,NA,0.000330349
spmv_exp1,1,8,NA,0.000329383
spmv_exp1,1,9,NA,0.000322127
spmv_exp1,1,10,NA,0.000322939
spmv_exp1,2,1,NA,0.0126255
spmv_exp1,2,2,NA,0.0123596
spmv_exp1,2,3,NA,0.0128129
spmv_exp1,2,4,NA,0.0124177
spmv_exp1,2,5,NA,0.0123069
spmv_exp1,2,6,NA,0.0123711
spmv_exp1,2,7,NA,0.0132266
spmv_exp1,2,8,NA,0.0127162
spmv_exp1,2,9,NA,0.0127349
spmv_exp1,2,10,NA,0.0130305
spmv_exp1,4,1,NA,0.0127281
spmv_exp1,4,2,NA,0.0251356
spmv_exp1,4,3,NA,0.0123548
spmv_exp1,4,4,NA,0.0127767
spmv_exp1,4,5,NA,0.0128085
spmv_exp1,4,6,NA,0.0127575
spmv_exp1,4,7,NA,0.0124034
spmv_exp1,4,8,NA,0.0125996
spmv_exp1,4,9,NA,0.0262004
spmv_exp1,4,10,NA,0.0123946
spmv_exp1,8,1,NA,0.0128551
spmv_exp1,8,2,NA,0.0128223
spmv_exp1,8,3,NA,0.012635
spmv_exp1,8,4,NA,0.0125908
spmv_exp1,8,5,NA,0.0128875
spmv_exp1,8,6,NA,0.0130996
spmv_exp1,8,7,NA,0.0126719
spmv_exp1,8,8,NA,0.0128855
spmv_exp1,8,9,NA,0.0126008
spmv_exp1,8,10,NA,0.0158929
spmv_exp1,16,1,NA,0.0125181
spmv_exp1,16,2,NA,0.0133468
spmv_exp1,16,3,NA,0.0130839
spmv_exp1,16,4,NA,0.0128622
spmv_exp1,16,5,NA,0.0127418
spmv_exp1,16,6,NA,0.0124191
spmv_exp1,16,7,NA,0.0130707
spmv_exp1,16,8,NA,0.0126913
spmv_exp1,16,9,NA,0.0124827
spmv_exp1,16,10,NA,0.0133474
spmv_exp1,32,1,NA,0.0128759
spmv_exp1,32,2,NA,0.0127228
spmv_exp1,32,3,NA,0.013246
spmv_exp1,32,4,NA,0.0132476
spmv_exp1,32,5,NA,0.0135977
spmv_exp1,32,6,NA,0.0127398
spmv_exp1,32,7,NA,0.0135605
spmv_exp1,32,8,NA,0.0129992
spmv_exp1,32,9,NA,0.013539
spmv_exp1,32,10,NA,0.0126188
spmv_exp1,64,1,NA,0.014275
spmv_exp1,64,2,NA,0.0264964
spmv_exp1,64,3,NA,0.013661
spmv_exp1,64,4,NA,0.0323066
spmv_exp1,64,5,NA,0.0128625
spmv_exp1,64,6,NA,0.0249089
spmv_exp1,64,7,NA,0.0129776
spmv_exp1,64,8,NA,0.0129434
spmv_exp1,64,9,NA,0.0132585
spmv_exp1,64,10,NA,0.0251358
spmv_exp1,96,1,NA,0.0139055
spmv_exp1,96,2,NA,0.0273019
spmv_exp1,96,3,NA,0.0275775
spmv_exp1,96,4,NA,0.0306961
spmv_exp1,96,5,NA,0.0300199
spmv_exp1,96,6,NA,0.0262975
spmv_exp1,96,7,NA,0.0145683
spmv_exp1,96,8,NA,0.0271015
spmv_exp1,96,9,NA,0.0268174
spmv_exp1,96,10,NA,0.014564
spmv_guided,1,1,NA,0.000537422
spmv_guided,1,2,NA,0.000541013
spmv_guided,1,3,NA,0.000540888
spmv_guided,1,4,NA,0.000536044
spmv_guided,1,5,NA,0.000542498
spmv_guided,1,6,NA,0.000535946
spmv_guided,1,7,NA,0.000536001
spmv_guided,1,8,NA,0.000540912
spmv_guided,1,9,NA,0.000540872
spmv_guided,1,10,NA,0.000535689
spmv_guided,2,1,NA,0.000617133
spmv_guided,2,2,NA,0.000466718
spmv_guided,2,3,NA,0.000477365
spmv_guided,2,4,NA,0.000633487
spmv_guided,2,5,NA,0.000405697
spmv_guided,2,6,NA,0.000499128
spmv_guided,2,7,NA,0.000563203
spmv_guided,2,8,NA,0.000494522
spmv_guided,2,9,NA,0.000601389
spmv_guided,2,10,NA,0.000621381
spmv_guided,4,1,NA,0.000413259
spmv_guided,4,2,NA,0.000563264
spmv_guided,4,3,NA,0.000516918
spmv_guided,4,4,NA,0.000449999
spmv_guided,4,5,NA,0.000367309
spmv_guided,4,6,NA,0.000393209
spmv_guided,4,7,NA,0.000536025
spmv_guided,4,8,NA,0.000331206
spmv_guided,4,9,NA,0.000436352
spmv_guided,4,10,NA,0.000442549
spmv_guided,8,1,NA,0.000361374
spmv_guided,8,2,NA,0.000356358
spmv_guided,8,3,NA,0.000371998
spmv_guided,8,4,NA,0.000345862
spmv_guided,8,5,NA,0.000345375
spmv_guided,8,6,NA,0.000369661
spmv_guided,8,7,NA,0.000492437
spmv_guided,8,8,NA,0.000367756
spmv_guided,8,9,NA,0.000343455
spmv_guided,8,10,NA,0.000375452
spmv_guided,16,1,NA,0.0133276
spmv_guided,16,2,NA,0.0254715
spmv_guided,16,3,NA,0.0132216
spmv_guided,16,4,NA,0.0126682
spmv_guided,16,5,NA,0.0125758
spmv_guided,16,6,NA,0.0124292
spmv_guided,16,7,NA,0.012901
spmv_guided,16,8,NA,0.0127997
spmv_guided,16,9,NA,0.0124309
spmv_guided,16,10,NA,0.0126942
spmv_guided,32,1,NA,0.0132032
spmv_guided,32,2,NA,0.013131
spmv_guided,32,3,NA,0.0136097
spmv_guided,32,4,NA,0.013392
spmv_guided,32,5,NA,0.0128674
spmv_guided,32,6,NA,0.0125986
spmv_guided,32,7,NA,0.0133417
spmv_guided,32,8,NA,0.0252892
spmv_guided,32,9,NA,0.0294508
spmv_guided,32,10,NA,0.0135245
spmv_guided,64,1,NA,0.0259148
spmv_guided,64,2,NA,0.0302142
spmv_guided,64,3,NA,0.0267206
spmv_guided,64,4,NA,0.0138146
spmv_guided,64,5,NA,0.0138747
spmv_guided,64,6,NA,0.0167594
spmv_guided,64,7,NA,0.0137641
spmv_guided,64,8,NA,0.0136309
spmv_guided,64,9,NA,0.0135858
spmv_guided,64,10,NA,0.0137237
spmv_guided,96,1,NA,0.0274838
spmv_guided,96,2,NA,0.0277599
spmv_guided,96,3,NA,0.0144392
spmv_guided,96,4,NA,0.0268065
spmv_guided,96,5,NA,0.0147345
spmv_guided,96,6,NA,0.0138182
spmv_guided,96,7,NA,0.0150299
spmv_guided,96,8,NA,0.0148119
spmv_guided,96,9,NA,0.0295249
spmv_guided,96,10,NA,0.0277175
spmv_static,1,1,NA,0.000551227
spmv_static,1,2,NA,0.000539973
spmv_static,1,3,NA,0.000532156
spmv_static,1,4,NA,0.000533233
spmv_static,1,5,NA,0.000539211
spmv_static,1,6,NA,0.000535101
spmv_static,1,7,NA,0.000529375
spmv_static,1,8,NA,0.000530322
spmv_static,1,9,NA,0.000536815
spmv_static,1,10,NA,0.000530663
spmv_static,2,1,NA,0.000657925
spmv_static,2,2,NA,0.000633459
spmv_static,2,3,NA,0.000524493
spmv_static,2,4,NA,0.000434813
spmv_static,2,5,NA,0.000407902
spmv_static,2,6,NA,0.000675765
spmv_static,2,7,NA,0.000807636
spmv_static,2,8,NA,0.000620583
spmv_static,2,9,NA,0.000742792
spmv_static,2,10,NA,0.00100633
spmv_static,4,1,NA,0.0135662
spmv_static,4,2,NA,0.0135677
spmv_static,4,3,NA,0.0131569
spmv_static,4,4,NA,0.012838
spmv_static,4,5,NA,0.0124127
spmv_static,4,6,NA,0.0127817
spmv_static,4,7,NA,0.0130224
spmv_static,4,8,NA,0.012891
spmv_static,4,9,NA,0.012831
spmv_static,4,10,NA,0.0126187
spmv_static,8,1,NA,0.0126834
spmv_static,8,2,NA,0.0123882
spmv_static,8,3,NA,0.0249109
spmv_static,8,4,NA,0.0132137
spmv_static,8,5,NA,0.0125454
spmv_static,8,6,NA,0.0128375
spmv_static,8,7,NA,0.0125112
spmv_static,8,8,NA,0.012456
spmv_static,8,9,NA,0.0130895
spmv_static,8,10,NA,0.0131723
spmv_static,16,1,NA,0.0126705
spmv_static,16,2,NA,0.0125273
spmv_static,16,3,NA,0.0123592
spmv_static,16,4,NA,0.0124459
spmv_static,16,5,NA,0.0133698
spmv_static,16,6,NA,0.0128154
spmv_static,16,7,NA,0.0131318
spmv_static,16,8,NA,0.0126349
spmv_static,16,9,NA,0.0127521
spmv_static,16,10,NA,0.0130608
spmv_static,32,1,NA,0.0131625
spmv_static,32,2,NA,0.0127575
spmv_static,32,3,NA,0.0133595
spmv_static,32,4,NA,0.0128379
spmv_static,32,5,NA,0.0131996
spmv_static,32,6,NA,0.0129167
spmv_static,32,7,NA,0.0128237
spmv_static,32,8,NA,0.0237363
