Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000146748
spmv_sequential,1,2,NA,0.000145793
spmv_sequential,1,3,NA,0.000139282
spmv_sequential,1,4,NA,0.000161379
spmv_sequential,1,5,NA,0.000150538
spmv_sequential,1,6,NA,0.000147333
spmv_sequential,1,7,NA,0.00016217
spmv_sequential,1,8,NA,0.000147725
spmv_sequential,1,9,NA,0.000151295
spmv_sequential,1,10,NA,0.000145297
spmv_sequential,2,1,NA,0.000147498
spmv_sequential,2,2,NA,0.000144608
spmv_sequential,2,3,NA,0.000139049
spmv_sequential,2,4,NA,0.000161435
spmv_sequential,2,5,NA,0.000146572
spmv_sequential,2,6,NA,0.000138806
spmv_sequential,2,7,NA,0.000167494
spmv_sequential,2,8,NA,0.000137823
spmv_sequential,2,9,NA,0.000146527
spmv_sequential,2,10,NA,0.000146296
spmv_sequential,4,1,NA,0.000138115
spmv_sequential,4,2,NA,0.00014148
spmv_sequential,4,3,NA,0.000137464
spmv_sequential,4,4,NA,0.000137335
spmv_sequential,4,5,NA,0.00013723
spmv_sequential,4,6,NA,0.000148181
spmv_sequential,4,7,NA,0.000145247
spmv_sequential,4,8,NA,0.000156862
spmv_sequential,4,9,NA,0.000156406
spmv_sequential,4,10,NA,0.000150234
spmv_sequential,8,1,NA,0.000138202
spmv_sequential,8,2,NA,0.000136974
spmv_sequential,8,3,NA,0.000147277
spmv_sequential,8,4,NA,0.000146403
spmv_sequential,8,5,NA,0.000136998
spmv_sequential,8,6,NA,0.000144027
spmv_sequential,8,7,NA,0.000147385
spmv_sequential,8,8,NA,0.000147938
spmv_sequential,8,9,NA,0.000152378
spmv_sequential,8,10,NA,0.000160968
spmv_sequential,16,1,NA,0.000138621
spmv_sequential,16,2,NA,0.000137493
spmv_sequential,16,3,NA,0.000137187
spmv_sequential,16,4,NA,0.000146453
spmv_sequential,16,5,NA,0.000136514
spmv_sequential,16,6,NA,0.000138483
spmv_sequential,16,7,NA,0.00014591
spmv_sequential,16,8,NA,0.000145608
spmv_sequential,16,9,NA,0.000137299
spmv_sequential,16,10,NA,0.000156323
spmv_sequential,32,1,NA,0.000146741
spmv_sequential,32,2,NA,0.000141988
spmv_sequential,32,3,NA,0.000138657
spmv_sequential,32,4,NA,0.000148163
spmv_sequential,32,5,NA,0.000141935
spmv_sequential,32,6,NA,0.000160661
spmv_sequential,32,7,NA,0.000136921
spmv_sequential,32,8,NA,0.000138648
spmv_sequential,32,9,NA,0.00015019
spmv_sequential,32,10,NA,0.000137563
spmv_sequential,64,1,NA,0.000137305
spmv_sequential,64,2,NA,0.0001383
spmv_sequential,64,3,NA,0.000136748
spmv_sequential,64,4,NA,0.000147702
spmv_sequential,64,5,NA,0.000137285
spmv_sequential,64,6,NA,0.000138071
spmv_sequential,64,7,NA,0.000154003
spmv_sequential,64,8,NA,0.000137739
spmv_sequential,64,9,NA,0.000137288
spmv_sequential,64,10,NA,0.000150391
spmv_sequential,96,1,NA,0.000143429
