Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000170482
spmv_runtime_static,1,2,10,0.000172593
spmv_runtime_static,1,3,10,0.000154543
spmv_runtime_static,1,4,10,0.00016544
spmv_runtime_static,1,5,10,0.000149048
spmv_runtime_static,1,6,10,0.000171739
spmv_runtime_static,1,7,10,0.000159636
spmv_runtime_static,1,8,10,0.000158471
spmv_runtime_static,1,9,10,0.000148268
spmv_runtime_static,1,10,10,0.000161089
spmv_runtime_static,2,1,10,0.000379312
spmv_runtime_static,2,2,10,0.000375003
spmv_runtime_static,2,3,10,0.000348714
spmv_runtime_static,2,4,10,0.000326221
spmv_runtime_static,2,5,10,0.000190398
spmv_runtime_static,2,6,10,0.000323054
spmv_runtime_static,2,7,10,0.000175522
spmv_runtime_static,2,8,10,0.000385083
spmv_runtime_static,2,9,10,0.000325164
spmv_runtime_static,2,10,10,0.000323965
spmv_runtime_static,4,1,10,0.000342961
spmv_runtime_static,4,2,10,0.000281331
spmv_runtime_static,4,3,10,0.000301056
spmv_runtime_static,4,4,10,0.000208555
spmv_runtime_static,4,5,10,0.000362875
spmv_runtime_static,4,6,10,0.000316549
spmv_runtime_static,4,7,10,0.000285543
spmv_runtime_static,4,8,10,0.000373006
spmv_runtime_static,4,9,10,0.000342269
spmv_runtime_static,4,10,10,0.00032737
spmv_runtime_static,8,1,10,0.000312661
spmv_runtime_static,8,2,10,0.000352304
spmv_runtime_static,8,3,10,0.000343067
spmv_runtime_static,8,4,10,0.000297898
spmv_runtime_static,8,5,10,0.000302369
spmv_runtime_static,8,6,10,0.000340117
spmv_runtime_static,8,7,10,0.000290105
spmv_runtime_static,8,8,10,0.000329522
spmv_runtime_static,8,9,10,0.000329743
spmv_runtime_static,8,10,10,0.000292325
spmv_runtime_static,16,1,10,0.000690829
spmv_runtime_static,16,2,10,0.000639756
spmv_runtime_static,16,3,10,0.000445907
spmv_runtime_static,16,4,10,0.000392169
spmv_runtime_static,16,5,10,0.000511223
spmv_runtime_static,16,6,10,0.00067523
spmv_runtime_static,16,7,10,0.000624859
spmv_runtime_static,16,8,10,0.000673972
spmv_runtime_static,16,9,10,0.00065225
spmv_runtime_static,16,10,10,0.000658884
spmv_runtime_static,32,1,10,0.00132116
spmv_runtime_static,32,2,10,0.00132516
spmv_runtime_static,32,3,10,0.00133652
spmv_runtime_static,32,4,10,0.00131328
spmv_runtime_static,32,5,10,0.00123067
spmv_runtime_static,32,6,10,0.00126144
spmv_runtime_static,32,7,10,0.00128101
spmv_runtime_static,32,8,10,0.00127582
spmv_runtime_static,32,9,10,0.00125252
spmv_runtime_static,32,10,10,0.00122027
spmv_runtime_static,64,1,10,0.00193626
spmv_runtime_static,64,2,10,0.00193146
spmv_runtime_static,64,3,10,0.00196465
spmv_runtime_static,64,4,10,0.0018025
spmv_runtime_static,64,5,10,0.00191724
spmv_runtime_static,64,6,10,0.0019636
spmv_runtime_static,64,7,10,0.0018632
spmv_runtime_static,64,8,10,0.0019238
spmv_runtime_static,64,9,10,0.00186171
spmv_runtime_static,64,10,10,0.00202675
spmv_runtime_static,96,1,10,0.0106767
spmv_runtime_static,96,2,10,0.0106688
spmv_runtime_static,96,3,10,0.0105923
spmv_runtime_static,96,4,10,0.0105775
spmv_runtime_static,96,5,10,0.0105541
spmv_runtime_static,96,6,10,0.0105707
spmv_runtime_static,96,7,10,0.0106201
spmv_runtime_static,96,8,10,0.0108982
spmv_runtime_static,96,9,10,0.0105383
spmv_runtime_static,96,10,10,0.0109527
spmv_runtime_static,1,1,100,0.000170687
spmv_runtime_static,1,2,100,0.000169163
spmv_runtime_static,1,3,100,0.000148804
spmv_runtime_static,1,4,100,0.000163418
spmv_runtime_static,1,5,100,0.000161301
spmv_runtime_static,1,6,100,0.000161042
spmv_runtime_static,1,7,100,0.000156993
spmv_runtime_static,1,8,100,0.000168752
spmv_runtime_static,1,9,100,0.000174985
spmv_runtime_static,1,10,100,0.000147243
spmv_runtime_static,2,1,100,0.000410738
spmv_runtime_static,2,2,100,0.000394321
spmv_runtime_static,2,3,100,0.00018861
spmv_runtime_static,2,4,100,0.000217821
spmv_runtime_static,2,5,100,0.00030956
spmv_runtime_static,2,6,100,0.000277043
spmv_runtime_static,2,7,100,0.000360942
spmv_runtime_static,2,8,100,0.000363782
spmv_runtime_static,2,9,100,0.000288553
spmv_runtime_static,2,10,100,0.000306357
spmv_runtime_static,4,1,100,0.00029907
spmv_runtime_static,4,2,100,0.000269955
spmv_runtime_static,4,3,100,0.000197441
spmv_runtime_static,4,4,100,0.000345385
spmv_runtime_static,4,5,100,0.000252658
spmv_runtime_static,4,6,100,0.000246555
spmv_runtime_static,4,7,100,0.000346661
spmv_runtime_static,4,8,100,0.000225998
spmv_runtime_static,4,9,100,0.000310712
spmv_runtime_static,4,10,100,0.000229971
spmv_runtime_static,8,1,100,0.000315177
spmv_runtime_static,8,2,100,0.000267157
spmv_runtime_static,8,3,100,0.00031766
spmv_runtime_static,8,4,100,0.000300555
spmv_runtime_static,8,5,100,0.000301789
spmv_runtime_static,8,6,100,0.000328706
spmv_runtime_static,8,7,100,0.000324298
