Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000163697
spmv_runtime_static,1,2,10,0.000237301
spmv_runtime_static,1,3,10,0.000181377
spmv_runtime_static,1,4,10,0.000220066
spmv_runtime_static,1,5,10,0.000164622
spmv_runtime_static,1,6,10,0.000251412
spmv_runtime_static,1,7,10,0.000187536
spmv_runtime_static,1,8,10,0.000229334
spmv_runtime_static,1,9,10,0.000162709
spmv_runtime_static,1,10,10,0.000159152
spmv_runtime_static,2,1,10,0.000379984
spmv_runtime_static,2,2,10,0.000405252
spmv_runtime_static,2,3,10,0.000382087
spmv_runtime_static,2,4,10,0.00041031
spmv_runtime_static,2,5,10,0.000397841
spmv_runtime_static,2,6,10,0.000382476
spmv_runtime_static,2,7,10,0.000408555
spmv_runtime_static,2,8,10,0.000394094
spmv_runtime_static,2,9,10,0.000328086
spmv_runtime_static,2,10,10,0.000327386
spmv_runtime_static,4,1,10,0.000391153
spmv_runtime_static,4,2,10,0.000343689
spmv_runtime_static,4,3,10,0.000474385
spmv_runtime_static,4,4,10,0.000369725
spmv_runtime_static,4,5,10,0.000393881
spmv_runtime_static,4,6,10,0.000896445
spmv_runtime_static,4,7,10,0.000371014
spmv_runtime_static,4,8,10,0.000365913
spmv_runtime_static,4,9,10,0.000384492
spmv_runtime_static,4,10,10,0.000373826
spmv_runtime_static,8,1,10,0.000385114
spmv_runtime_static,8,2,10,0.000421396
spmv_runtime_static,8,3,10,0.000360223
spmv_runtime_static,8,4,10,0.000422702
spmv_runtime_static,8,5,10,0.000409908
spmv_runtime_static,8,6,10,0.000413547
spmv_runtime_static,8,7,10,0.000462742
spmv_runtime_static,8,8,10,0.00044644
spmv_runtime_static,8,9,10,0.000446711
spmv_runtime_static,8,10,10,0.000443949
spmv_runtime_static,16,1,10,0.000743499
spmv_runtime_static,16,2,10,0.000793613
spmv_runtime_static,16,3,10,0.000764623
spmv_runtime_static,16,4,10,0.000466909
spmv_runtime_static,16,5,10,0.000887264
spmv_runtime_static,16,6,10,0.000762939
spmv_runtime_static,16,7,10,0.00046138
spmv_runtime_static,16,8,10,0.000735706
spmv_runtime_static,16,9,10,0.000772786
spmv_runtime_static,16,10,10,0.000773286
spmv_runtime_static,32,1,10,0.00162605
spmv_runtime_static,32,2,10,0.00179715
