Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00682252
spmv_runtime_static,1,2,10,0.00678954
spmv_runtime_static,1,3,10,0.00682142
spmv_runtime_static,1,4,10,0.00679668
spmv_runtime_static,1,5,10,0.00680533
spmv_runtime_static,1,6,10,0.00677032
spmv_runtime_static,1,7,10,0.00679978
spmv_runtime_static,1,8,10,0.00680818
spmv_runtime_static,1,9,10,0.00676259
spmv_runtime_static,1,10,10,0.00678858
spmv_runtime_static,2,1,10,0.00412013
spmv_runtime_static,2,2,10,0.00700209
spmv_runtime_static,2,3,10,0.00495325
spmv_runtime_static,2,4,10,0.00774791
spmv_runtime_static,2,5,10,0.00480145
spmv_runtime_static,2,6,10,0.00598887
spmv_runtime_static,2,7,10,0.00655922
spmv_runtime_static,2,8,10,0.00716671
spmv_runtime_static,2,9,10,0.00724145
spmv_runtime_static,2,10,10,0.00428246
spmv_runtime_static,4,1,10,0.00238408
spmv_runtime_static,4,2,10,0.00248513
spmv_runtime_static,4,3,10,0.0024089
spmv_runtime_static,4,4,10,0.00257759
spmv_runtime_static,4,5,10,0.00236897
spmv_runtime_static,4,6,10,0.00247754
spmv_runtime_static,4,7,10,0.00242015
spmv_runtime_static,4,8,10,0.00234191
spmv_runtime_static,4,9,10,0.00242899
spmv_runtime_static,4,10,10,0.00243113
spmv_runtime_static,8,1,10,0.00161785
spmv_runtime_static,8,2,10,0.00157544
spmv_runtime_static,8,3,10,0.00171034
spmv_runtime_static,8,4,10,0.00173282
spmv_runtime_static,8,5,10,0.00154938
spmv_runtime_static,8,6,10,0.0015818
spmv_runtime_static,8,7,10,0.00162287
spmv_runtime_static,8,8,10,0.00168585
spmv_runtime_static,8,9,10,0.00170915
spmv_runtime_static,8,10,10,0.00170551
spmv_runtime_static,16,1,10,0.00185635
spmv_runtime_static,16,2,10,0.00238988
spmv_runtime_static,16,3,10,0.00174901
spmv_runtime_static,16,4,10,0.00192023
spmv_runtime_static,16,5,10,0.00177997
