Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00229785
spmv_sequential,1,2,NA,0.00242984
spmv_sequential,1,3,NA,0.00238112
spmv_sequential,1,4,NA,0.00232884
spmv_sequential,1,5,NA,0.00227303
spmv_sequential,1,6,NA,0.00230861
spmv_sequential,1,7,NA,0.00228656
spmv_sequential,1,8,NA,0.00229136
spmv_sequential,1,9,NA,0.00225446
spmv_sequential,1,10,NA,0.00223325
spmv_sequential,2,1,NA,0.00225419
spmv_sequential,2,2,NA,0.00229654
spmv_sequential,2,3,NA,0.00239073
spmv_sequential,2,4,NA,0.0023336
spmv_sequential,2,5,NA,0.00231687
spmv_sequential,2,6,NA,0.00236985
spmv_sequential,2,7,NA,0.00227549
spmv_sequential,2,8,NA,0.00230999
spmv_sequential,2,9,NA,0.00228252
spmv_sequential,2,10,NA,0.00231094
spmv_sequential,4,1,NA,0.00234251
spmv_sequential,4,2,NA,0.00230998
spmv_sequential,4,3,NA,0.00233732
spmv_sequential,4,4,NA,0.00230517
spmv_sequential,4,5,NA,0.00228444
spmv_sequential,4,6,NA,0.00234891
spmv_sequential,4,7,NA,0.00232161
spmv_sequential,4,8,NA,0.0023653
spmv_sequential,4,9,NA,0.00232344
spmv_sequential,4,10,NA,0.00231011
spmv_sequential,8,1,NA,0.00232273
spmv_sequential,8,2,NA,0.00230634
spmv_sequential,8,3,NA,0.00229979
spmv_sequential,8,4,NA,0.00231709
spmv_sequential,8,5,NA,0.00232004
spmv_sequential,8,6,NA,0.00230711
spmv_sequential,8,7,NA,0.00230289
spmv_sequential,8,8,NA,0.00231372
spmv_sequential,8,9,NA,0.00233948
spmv_sequential,8,10,NA,0.00227874
spmv_sequential,16,1,NA,0.00232909
spmv_sequential,16,2,NA,0.00228561
spmv_sequential,16,3,NA,0.00227858
spmv_sequential,16,4,NA,0.00232997
spmv_sequential,16,5,NA,0.00230617
spmv_sequential,16,6,NA,0.00232043
spmv_sequential,16,7,NA,0.00233304
spmv_sequential,16,8,NA,0.00231947
spmv_sequential,16,9,NA,0.00229299
spmv_sequential,16,10,NA,0.00229072
spmv_sequential,32,1,NA,0.00229692
spmv_sequential,32,2,NA,0.00232567
spmv_sequential,32,3,NA,0.00228403
spmv_sequential,32,4,NA,0.0023208
spmv_sequential,32,5,NA,0.00229884
spmv_sequential,32,6,NA,0.00229858
spmv_sequential,32,7,NA,0.00233756
spmv_sequential,32,8,NA,0.00233125
spmv_sequential,32,9,NA,0.00230579
spmv_sequential,32,10,NA,0.00230577
spmv_sequential,64,1,NA,0.00228853
spmv_sequential,64,2,NA,0.00230667
spmv_sequential,64,3,NA,0.00229189
spmv_sequential,64,4,NA,0.00232542
spmv_sequential,64,5,NA,0.00230438
spmv_sequential,64,6,NA,0.00230173
spmv_sequential,64,7,NA,0.00225229
spmv_sequential,64,8,NA,0.00233282
spmv_sequential,64,9,NA,0.002228
spmv_sequential,64,10,NA,0.00227565
spmv_sequential,96,1,NA,0.00229557
spmv_sequential,96,2,NA,0.0022262
spmv_sequential,96,3,NA,0.00221472
spmv_sequential,96,4,NA,0.00235608
spmv_sequential,96,5,NA,0.00230054
spmv_sequential,96,6,NA,0.00237631
spmv_sequential,96,7,NA,0.00234777
spmv_sequential,96,8,NA,0.00228558
spmv_sequential,96,9,NA,0.00229822
spmv_sequential,96,10,NA,0.00233746
spmv_static,1,1,NA,0.00230668
spmv_static,1,2,NA,0.00230868
spmv_static,1,3,NA,0.00232468
spmv_static,1,4,NA,0.00231689
spmv_static,1,5,NA,0.00231261
spmv_static,1,6,NA,0.00231063
spmv_static,1,7,NA,0.00231729
spmv_static,1,8,NA,0.00230555
spmv_static,1,9,NA,0.00231653
spmv_static,1,10,NA,0.00235139
spmv_static,2,1,NA,0.00203827
spmv_static,2,2,NA,0.00202196
spmv_static,2,3,NA,0.00199983
