Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00245777
spmv_runtime_static,1,2,10,0.0022894
spmv_runtime_static,1,3,10,0.00243665
spmv_runtime_static,1,4,10,0.00225553
spmv_runtime_static,1,5,10,0.00240833
spmv_runtime_static,1,6,10,0.00226685
spmv_runtime_static,1,7,10,0.00247089
spmv_runtime_static,1,8,10,0.00221042
spmv_runtime_static,1,9,10,0.00222824
spmv_runtime_static,1,10,10,0.00227092
spmv_runtime_static,2,1,10,0.00182287
spmv_runtime_static,2,2,10,0.00180651
spmv_runtime_static,2,3,10,0.00170257
spmv_runtime_static,2,4,10,0.00184521
spmv_runtime_static,2,5,10,0.00182521
spmv_runtime_static,2,6,10,0.00183151
spmv_runtime_static,2,7,10,0.00345414
spmv_runtime_static,2,8,10,0.00182557
spmv_runtime_static,2,9,10,0.00180644
spmv_runtime_static,2,10,10,0.00180091
spmv_runtime_static,4,1,10,0.00127222
spmv_runtime_static,4,2,10,0.00128442
spmv_runtime_static,4,3,10,0.00131885
spmv_runtime_static,4,4,10,0.00134492
spmv_runtime_static,4,5,10,0.00138554
spmv_runtime_static,4,6,10,0.0013834
spmv_runtime_static,4,7,10,0.0015532
spmv_runtime_static,4,8,10,0.00134865
spmv_runtime_static,4,9,10,0.00163137
spmv_runtime_static,4,10,10,0.00144261
spmv_runtime_static,8,1,10,0.00117068
spmv_runtime_static,8,2,10,0.00124006
spmv_runtime_static,8,3,10,0.00117528
spmv_runtime_static,8,4,10,0.00138623
spmv_runtime_static,8,5,10,0.00130644
spmv_runtime_static,8,6,10,0.00114817
spmv_runtime_static,8,7,10,0.00121917
spmv_runtime_static,8,8,10,0.00124696
spmv_runtime_static,8,9,10,0.00127602
spmv_runtime_static,8,10,10,0.00118507
spmv_runtime_static,16,1,10,0.0021403
spmv_runtime_static,16,2,10,0.00232762
spmv_runtime_static,16,3,10,0.00252407
spmv_runtime_static,16,4,10,0.00217455
spmv_runtime_static,16,5,10,0.0023903
spmv_runtime_static,16,6,10,0.00220029
spmv_runtime_static,16,7,10,0.00238918
spmv_runtime_static,16,8,10,0.00230416
spmv_runtime_static,16,9,10,0.00230462
spmv_runtime_static,16,10,10,0.00243732
spmv_runtime_static,32,1,10,0.00554381
spmv_runtime_static,32,2,10,0.00554155
spmv_runtime_static,32,3,10,0.00524562
spmv_runtime_static,32,4,10,0.00501416
spmv_runtime_static,32,5,10,0.00548252
