Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.0016382
spmv_runtime_static,1,2,10,0.00160117
spmv_runtime_static,1,3,10,0.00155025
spmv_runtime_static,1,4,10,0.00152793
spmv_runtime_static,1,5,10,0.0015271
spmv_runtime_static,1,6,10,0.00153809
spmv_runtime_static,1,7,10,0.00154878
spmv_runtime_static,1,8,10,0.00158584
spmv_runtime_static,1,9,10,0.00158859
spmv_runtime_static,1,10,10,0.00166406
spmv_runtime_static,2,1,10,0.00163126
spmv_runtime_static,2,2,10,0.00171964
spmv_runtime_static,2,3,10,0.00165748
spmv_runtime_static,2,4,10,0.00173729
spmv_runtime_static,2,5,10,0.00173249
spmv_runtime_static,2,6,10,0.00168316
spmv_runtime_static,2,7,10,0.00170121
spmv_runtime_static,2,8,10,0.00173767
spmv_runtime_static,2,9,10,0.00184349
spmv_runtime_static,2,10,10,0.0017586
spmv_runtime_static,4,1,10,0.00115171
spmv_runtime_static,4,2,10,0.00106488
spmv_runtime_static,4,3,10,0.00104671
spmv_runtime_static,4,4,10,0.000980137
spmv_runtime_static,4,5,10,0.00101422
spmv_runtime_static,4,6,10,0.00107988
spmv_runtime_static,4,7,10,0.00111157
spmv_runtime_static,4,8,10,0.00107844
spmv_runtime_static,4,9,10,0.00112225
spmv_runtime_static,4,10,10,0.00111344
spmv_runtime_static,8,1,10,0.000811111
spmv_runtime_static,8,2,10,0.000762943
spmv_runtime_static,8,3,10,0.000718363
spmv_runtime_static,8,4,10,0.000827739
spmv_runtime_static,8,5,10,0.000799481
spmv_runtime_static,8,6,10,0.000855982
spmv_runtime_static,8,7,10,0.000859039
spmv_runtime_static,8,8,10,0.000847053
spmv_runtime_static,8,9,10,0.000843605
spmv_runtime_static,8,10,10,0.000726299
spmv_runtime_static,16,1,10,0.00161589
spmv_runtime_static,16,2,10,0.00158487
spmv_runtime_static,16,3,10,0.00153034
spmv_runtime_static,16,4,10,0.00171168
spmv_runtime_static,16,5,10,0.000988312
spmv_runtime_static,16,6,10,0.00170021
spmv_runtime_static,16,7,10,0.00167404
spmv_runtime_static,16,8,10,0.00174795
spmv_runtime_static,16,9,10,0.00154462
spmv_runtime_static,16,10,10,0.00156542
spmv_runtime_static,32,1,10,0.00378426
spmv_runtime_static,32,2,10,0.00381297
spmv_runtime_static,32,3,10,0.00374969
spmv_runtime_static,32,4,10,0.00404494
spmv_runtime_static,32,5,10,0.00380495
spmv_runtime_static,32,6,10,0.00393133
spmv_runtime_static,32,7,10,0.00351014
spmv_runtime_static,32,8,10,0.00344707
spmv_runtime_static,32,9,10,0.00391384
spmv_runtime_static,32,10,10,0.00369459
spmv_runtime_static,64,1,10,0.00506608
spmv_runtime_static,64,2,10,0.0049604
spmv_runtime_static,64,3,10,0.00480398
spmv_runtime_static,64,4,10,0.00477541
spmv_runtime_static,64,5,10,0.00481399
spmv_runtime_static,64,6,10,0.0051956
spmv_runtime_static,64,7,10,0.0047273
