Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00149422
spmv_sequential,1,2,NA,0.00151685
spmv_sequential,1,3,NA,0.001522
spmv_sequential,1,4,NA,0.0015321
spmv_sequential,1,5,NA,0.00153998
spmv_sequential,1,6,NA,0.00153107
spmv_sequential,1,7,NA,0.00146562
spmv_sequential,1,8,NA,0.00142562
spmv_sequential,1,9,NA,0.00152918
spmv_sequential,1,10,NA,0.00144204
spmv_sequential,2,1,NA,0.00135418
spmv_sequential,2,2,NA,0.00134749
spmv_sequential,2,3,NA,0.00151938
spmv_sequential,2,4,NA,0.00153224
spmv_sequential,2,5,NA,0.00152392
spmv_sequential,2,6,NA,0.0016179
spmv_sequential,2,7,NA,0.00152785
spmv_sequential,2,8,NA,0.00166186
spmv_sequential,2,9,NA,0.00168767
spmv_sequential,2,10,NA,0.0014853
spmv_sequential,4,1,NA,0.00153118
spmv_sequential,4,2,NA,0.00149308
spmv_sequential,4,3,NA,0.00147532
spmv_sequential,4,4,NA,0.00150563
spmv_sequential,4,5,NA,0.00154878
spmv_sequential,4,6,NA,0.00153523
spmv_sequential,4,7,NA,0.00151041
spmv_sequential,4,8,NA,0.00158605
spmv_sequential,4,9,NA,0.00148065
spmv_sequential,4,10,NA,0.0016742
spmv_sequential,8,1,NA,0.00153475
spmv_sequential,8,2,NA,0.00151618
spmv_sequential,8,3,NA,0.00149418
spmv_sequential,8,4,NA,0.00145414
spmv_sequential,8,5,NA,0.00142912
spmv_sequential,8,6,NA,0.00152224
spmv_sequential,8,7,NA,0.00161431
spmv_sequential,8,8,NA,0.00147058
spmv_sequential,8,9,NA,0.00152862
spmv_sequential,8,10,NA,0.00143038
spmv_sequential,16,1,NA,0.00144255
spmv_sequential,16,2,NA,0.00150901
spmv_sequential,16,3,NA,0.00145914
spmv_sequential,16,4,NA,0.00159881
spmv_sequential,16,5,NA,0.00145317
spmv_sequential,16,6,NA,0.00148483
spmv_sequential,16,7,NA,0.00147207
spmv_sequential,16,8,NA,0.00154376
spmv_sequential,16,9,NA,0.00150076
spmv_sequential,16,10,NA,0.00154611
spmv_sequential,32,1,NA,0.0016163
spmv_sequential,32,2,NA,0.00152069
spmv_sequential,32,3,NA,0.0015159
spmv_sequential,32,4,NA,0.0015257
spmv_sequential,32,5,NA,0.00147215
spmv_sequential,32,6,NA,0.00146395
spmv_sequential,32,7,NA,0.00153427
spmv_sequential,32,8,NA,0.00149767
spmv_sequential,32,9,NA,0.00149176
spmv_sequential,32,10,NA,0.00153587
spmv_sequential,64,1,NA,0.00151627
spmv_sequential,64,2,NA,0.00150047
spmv_sequential,64,3,NA,0.00152051
spmv_sequential,64,4,NA,0.00152281
spmv_sequential,64,5,NA,0.00152921
spmv_sequential,64,6,NA,0.00148163
spmv_sequential,64,7,NA,0.00151856
spmv_sequential,64,8,NA,0.00161505
spmv_sequential,64,9,NA,0.00152658
spmv_sequential,64,10,NA,0.00152962
spmv_sequential,96,1,NA,0.00151115
spmv_sequential,96,2,NA,0.00152608
spmv_sequential,96,3,NA,0.00156568
spmv_sequential,96,4,NA,0.0015225
spmv_sequential,96,5,NA,0.00155837
