Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00155131
spmv_runtime_static,1,2,10,0.00152729
spmv_runtime_static,1,3,10,0.00152647
spmv_runtime_static,1,4,10,0.00152041
spmv_runtime_static,1,5,10,0.00152894
spmv_runtime_static,1,6,10,0.00153598
spmv_runtime_static,1,7,10,0.00154542
spmv_runtime_static,1,8,10,0.00154163
spmv_runtime_static,1,9,10,0.00152415
spmv_runtime_static,1,10,10,0.00154482
spmv_runtime_static,2,1,10,0.00113576
spmv_runtime_static,2,2,10,0.00115473
spmv_runtime_static,2,3,10,0.00115125
spmv_runtime_static,2,4,10,0.00184561
spmv_runtime_static,2,5,10,0.00175704
spmv_runtime_static,2,6,10,0.0038048
spmv_runtime_static,2,7,10,0.00189773
spmv_runtime_static,2,8,10,0.00181337
spmv_runtime_static,2,9,10,0.00165789
spmv_runtime_static,2,10,10,0.00165274
spmv_runtime_static,4,1,10,0.00136624
spmv_runtime_static,4,2,10,0.0013194
spmv_runtime_static,4,3,10,0.00112454
spmv_runtime_static,4,4,10,0.000925811
spmv_runtime_static,4,5,10,0.00114762
spmv_runtime_static,4,6,10,0.0011652
spmv_runtime_static,4,7,10,0.000985224
spmv_runtime_static,4,8,10,0.00102009
spmv_runtime_static,4,9,10,0.00101558
spmv_runtime_static,4,10,10,0.00115018
spmv_runtime_static,8,1,10,0.000973757
spmv_runtime_static,8,2,10,0.00103535
spmv_runtime_static,8,3,10,0.00104157
spmv_runtime_static,8,4,10,0.00108342
spmv_runtime_static,8,5,10,0.00102145
spmv_runtime_static,8,6,10,0.00104698
spmv_runtime_static,8,7,10,0.00107709
spmv_runtime_static,8,8,10,0.0010958
spmv_runtime_static,8,9,10,0.00114167
spmv_runtime_static,8,10,10,0.0010951
spmv_runtime_static,16,1,10,0.00225486
spmv_runtime_static,16,2,10,0.00223365
spmv_runtime_static,16,3,10,0.00230861
spmv_runtime_static,16,4,10,0.00233232
spmv_runtime_static,16,5,10,0.00229114
spmv_runtime_static,16,6,10,0.0022086
spmv_runtime_static,16,7,10,0.00228989
spmv_runtime_static,16,8,10,0.00237969
spmv_runtime_static,16,9,10,0.00194794
spmv_runtime_static,16,10,10,0.00246369
spmv_runtime_static,32,1,10,0.00469206
spmv_runtime_static,32,2,10,0.00485915
spmv_runtime_static,32,3,10,0.0050844
spmv_runtime_static,32,4,10,0.00457816
spmv_runtime_static,32,5,10,0.00500838
spmv_runtime_static,32,6,10,0.0045201
spmv_runtime_static,32,7,10,0.00498423
spmv_runtime_static,32,8,10,0.00510212
spmv_runtime_static,32,9,10,0.00481587
spmv_runtime_static,32,10,10,0.00502773
spmv_runtime_static,64,1,10,0.00659221
spmv_runtime_static,64,2,10,0.00619072
spmv_runtime_static,64,3,10,0.00618844
spmv_runtime_static,64,4,10,0.00624395
spmv_runtime_static,64,5,10,0.00610381
spmv_runtime_static,64,6,10,0.00598543
spmv_runtime_static,64,7,10,0.00640139
spmv_runtime_static,64,8,10,0.00637042
spmv_runtime_static,64,9,10,0.00530692
spmv_runtime_static,64,10,10,0.0051898
spmv_runtime_static,96,1,10,0.0197764
spmv_runtime_static,96,2,10,0.0150238
spmv_runtime_static,96,3,10,0.0154649
spmv_runtime_static,96,4,10,0.0198097
spmv_runtime_static,96,5,10,0.0150831
spmv_runtime_static,96,6,10,0.0156335
spmv_runtime_static,96,7,10,0.0155436
spmv_runtime_static,96,8,10,0.0155028
spmv_runtime_static,96,9,10,0.0160442
spmv_runtime_static,96,10,10,0.0205709
spmv_runtime_static,1,1,100,0.00143239
spmv_runtime_static,1,2,100,0.00144654
spmv_runtime_static,1,3,100,0.00141133
spmv_runtime_static,1,4,100,0.00157897
spmv_runtime_static,1,5,100,0.00151612
spmv_runtime_static,1,6,100,0.00153967
spmv_runtime_static,1,7,100,0.00151468
spmv_runtime_static,1,8,100,0.00154209
spmv_runtime_static,1,9,100,0.0015075
spmv_runtime_static,1,10,100,0.00160531
spmv_runtime_static,2,1,100,0.00144893
spmv_runtime_static,2,2,100,0.0013577
spmv_runtime_static,2,3,100,0.00138679
spmv_runtime_static,2,4,100,0.0013612
spmv_runtime_static,2,5,100,0.00141457
spmv_runtime_static,2,6,100,0.00134165
spmv_runtime_static,2,7,100,0.00140699
spmv_runtime_static,2,8,100,0.00133898
spmv_runtime_static,2,9,100,0.00139894
spmv_runtime_static,2,10,100,0.00142026
spmv_runtime_static,4,1,100,0.00111796
spmv_runtime_static,4,2,100,0.00139567
spmv_runtime_static,4,3,100,0.00109317
spmv_runtime_static,4,4,100,0.00104553
spmv_runtime_static,4,5,100,0.000997638
spmv_runtime_static,4,6,100,0.00100177
spmv_runtime_static,4,7,100,0.00121418
spmv_runtime_static,4,8,100,0.000989595
spmv_runtime_static,4,9,100,0.0010805
spmv_runtime_static,4,10,100,0.001312
spmv_runtime_static,8,1,100,0.000855956
spmv_runtime_static,8,2,100,0.00102423
spmv_runtime_static,8,3,100,0.000927543
spmv_runtime_static,8,4,100,0.000968425
spmv_runtime_static,8,5,100,0.00109376
spmv_runtime_static,8,6,100,0.00108894
spmv_runtime_static,8,7,100,0.00095102
spmv_runtime_static,8,8,100,0.00100023
spmv_runtime_static,8,9,100,0.000995535
spmv_runtime_static,8,10,100,0.00107713
spmv_runtime_static,16,1,100,0.00112196
spmv_runtime_static,16,2,100,0.00129618
spmv_runtime_static,16,3,100,0.00153398
spmv_runtime_static,16,4,100,0.00109632
spmv_runtime_static,16,5,100,0.00139941
spmv_runtime_static,16,6,100,0.00140533
spmv_runtime_static,16,7,100,0.0012173
spmv_runtime_static,16,8,100,0.00130305
spmv_runtime_static,16,9,100,0.00131557
spmv_runtime_static,16,10,100,0.00140835
spmv_runtime_static,32,1,100,0.00188432
spmv_runtime_static,32,2,100,0.00170116
spmv_runtime_static,32,3,100,0.00190169
spmv_runtime_static,32,4,100,0.00187642
spmv_runtime_static,32,5,100,0.00191326
spmv_runtime_static,32,6,100,0.00193467
spmv_runtime_static,32,7,100,0.00187306
spmv_runtime_static,32,8,100,0.00210736
spmv_runtime_static,32,9,100,0.0015351
spmv_runtime_static,32,10,100,0.0019103
spmv_runtime_static,64,1,100,0.00301209
spmv_runtime_static,64,2,100,0.00257002
spmv_runtime_static,64,3,100,0.00544823
spmv_runtime_static,64,4,100,0.00291001
spmv_runtime_static,64,5,100,0.00240838
spmv_runtime_static,64,6,100,0.00303242
spmv_runtime_static,64,7,100,0.00275383
spmv_runtime_static,64,8,100,0.00284165
spmv_runtime_static,64,9,100,0.00293936
spmv_runtime_static,64,10,100,0.00227221
spmv_runtime_static,96,1,100,0.0111282
spmv_runtime_static,96,2,100,0.0111651
spmv_runtime_static,96,3,100,0.0108146
spmv_runtime_static,96,4,100,0.0110817
spmv_runtime_static,96,5,100,0.0111252
spmv_runtime_static,96,6,100,0.0109542
spmv_runtime_static,96,7,100,0.0114537
spmv_runtime_static,96,8,100,0.0108357
spmv_runtime_static,96,9,100,0.0158496
spmv_runtime_static,96,10,100,0.0108773
spmv_runtime_static,1,1,1000,0.00164097
spmv_runtime_static,1,2,1000,0.00160803
spmv_runtime_static,1,3,1000,0.00152853
spmv_runtime_static,1,4,1000,0.00153701
spmv_runtime_static,1,5,1000,0.00154886
spmv_runtime_static,1,6,1000,0.00152329
spmv_runtime_static,1,7,1000,0.00157411
spmv_runtime_static,1,8,1000,0.00164162
spmv_runtime_static,1,9,1000,0.00154507
spmv_runtime_static,1,10,1000,0.00161384
spmv_runtime_static,2,1,1000,0.00109688
spmv_runtime_static,2,2,1000,0.00125283
spmv_runtime_static,2,3,1000,0.00117243
spmv_runtime_static,2,4,1000,0.000964269
spmv_runtime_static,2,5,1000,0.00116253
spmv_runtime_static,2,6,1000,0.00121105
spmv_runtime_static,2,7,1000,0.00119223
spmv_runtime_static,2,8,1000,0.00128662
spmv_runtime_static,2,9,1000,0.00113633
spmv_runtime_static,2,10,1000,0.00116915
spmv_runtime_static,4,1,1000,0.000843927
spmv_runtime_static,4,2,1000,0.000971537
spmv_runtime_static,4,3,1000,0.000938021
spmv_runtime_static,4,4,1000,0.000879265
spmv_runtime_static,4,5,1000,0.000888612
spmv_runtime_static,4,6,1000,0.000785241
spmv_runtime_static,4,7,1000,0.000999594
spmv_runtime_static,4,8,1000,0.000886695
spmv_runtime_static,4,9,1000,0.00102096
spmv_runtime_static,4,10,1000,0.0009197
spmv_runtime_static,8,1,1000,0.000792211
spmv_runtime_static,8,2,1000,0.000753043
spmv_runtime_static,8,3,1000,0.000650479
spmv_runtime_static,8,4,1000,0.000614448
spmv_runtime_static,8,5,1000,0.000835264
spmv_runtime_static,8,6,1000,0.00077318
spmv_runtime_static,8,7,1000,0.000781672
spmv_runtime_static,8,8,1000,0.000613686
spmv_runtime_static,8,9,1000,0.000600494
spmv_runtime_static,8,10,1000,0.000656852
spmv_runtime_static,16,1,1000,0.000832703
spmv_runtime_static,16,2,1000,0.000888856
spmv_runtime_static,16,3,1000,0.000882071
spmv_runtime_static,16,4,1000,0.000857463
spmv_runtime_static,16,5,1000,0.00074107
spmv_runtime_static,16,6,1000,0.000978351
spmv_runtime_static,16,7,1000,0.000805471
spmv_runtime_static,16,8,1000,0.000738606
spmv_runtime_static,16,9,1000,0.000781007
spmv_runtime_static,16,10,1000,0.000877095
spmv_runtime_static,32,1,1000,0.00128468
spmv_runtime_static,32,2,1000,0.00126209
spmv_runtime_static,32,3,1000,0.00138756
spmv_runtime_static,32,4,1000,0.00108807
spmv_runtime_static,32,5,1000,0.0012616
spmv_runtime_static,32,6,1000,0.00114937
spmv_runtime_static,32,7,1000,0.00126117
spmv_runtime_static,32,8,1000,0.00125422
spmv_runtime_static,32,9,1000,0.00120333
spmv_runtime_static,32,10,1000,0.00113968
spmv_runtime_static,64,1,1000,0.00216834
spmv_runtime_static,64,2,1000,0.00372302
spmv_runtime_static,64,3,1000,0.00240144
spmv_runtime_static,64,4,1000,0.00250977
spmv_runtime_static,64,5,1000,0.00234761
spmv_runtime_static,64,6,1000,0.00241353
spmv_runtime_static,64,7,1000,0.00215278
spmv_runtime_static,64,8,1000,0.00240328
spmv_runtime_static,64,9,1000,0.00212384
spmv_runtime_static,64,10,1000,0.00251164
spmv_runtime_static,96,1,1000,0.015212
spmv_runtime_static,96,2,1000,0.0106097
spmv_runtime_static,96,3,1000,0.0107416
spmv_runtime_static,96,4,1000,0.0151151
spmv_runtime_static,96,5,1000,0.0104902
spmv_runtime_static,96,6,1000,0.0104638
spmv_runtime_static,96,7,1000,0.0104
spmv_runtime_static,96,8,1000,0.0107674
spmv_runtime_static,96,9,1000,0.0103569
spmv_runtime_static,96,10,1000,0.0104444
spmv_runtime_static,1,1,10000,0.00162103
spmv_runtime_static,1,2,10000,0.00154047
spmv_runtime_static,1,3,10000,0.00155746
spmv_runtime_static,1,4,10000,0.00157352
spmv_runtime_static,1,5,10000,0.00156321
spmv_runtime_static,1,6,10000,0.00157712
spmv_runtime_static,1,7,10000,0.00155723
spmv_runtime_static,1,8,10000,0.00156967
spmv_runtime_static,1,9,10000,0.00153346
spmv_runtime_static,1,10,10000,0.00155071
spmv_runtime_static,2,1,10000,0.00119531
spmv_runtime_static,2,2,10000,0.00125961
spmv_runtime_static,2,3,10000,0.00122707
spmv_runtime_static,2,4,10000,0.0011655
spmv_runtime_static,2,5,10000,0.00125722
spmv_runtime_static,2,6,10000,0.00115416
spmv_runtime_static,2,7,10000,0.00121413
spmv_runtime_static,2,8,10000,0.00132107
spmv_runtime_static,2,9,10000,0.00110976
spmv_runtime_static,2,10,10000,0.00118084
spmv_runtime_static,4,1,10000,0.000931956
spmv_runtime_static,4,2,10000,0.00106071
spmv_runtime_static,4,3,10000,0.000953579
spmv_runtime_static,4,4,10000,0.000893334
spmv_runtime_static,4,5,10000,0.000966102
spmv_runtime_static,4,6,10000,0.00106533
spmv_runtime_static,4,7,10000,0.00095238
spmv_runtime_static,4,8,10000,0.000943417
spmv_runtime_static,4,9,10000,0.00108552
spmv_runtime_static,4,10,10000,0.00106324
spmv_runtime_static,8,1,10000,0.000896577
spmv_runtime_static,8,2,10000,0.000930022
spmv_runtime_static,8,3,10000,0.000897413
spmv_runtime_static,8,4,10000,0.00104573
spmv_runtime_static,8,5,10000,0.00082395
spmv_runtime_static,8,6,10000,0.000825066
spmv_runtime_static,8,7,10000,0.000811385
spmv_runtime_static,8,8,10000,0.000850031
spmv_runtime_static,8,9,10000,0.000881737
spmv_runtime_static,8,10,10000,0.000777422
spmv_runtime_static,16,1,10000,0.00119664
spmv_runtime_static,16,2,10000,0.00105193
spmv_runtime_static,16,3,10000,0.000912143
spmv_runtime_static,16,4,10000,0.00101156
spmv_runtime_static,16,5,10000,0.000962393
spmv_runtime_static,16,6,10000,0.0010371
spmv_runtime_static,16,7,10000,0.000965675
spmv_runtime_static,16,8,10000,0.00100521
spmv_runtime_static,16,9,10000,0.000994878
spmv_runtime_static,16,10,10000,0.00106878
spmv_runtime_static,32,1,10000,0.00145689
spmv_runtime_static,32,2,10000,0.00140755
spmv_runtime_static,32,3,10000,0.00142362
