Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00138144
spmv_runtime_static,1,2,10,0.00134424
spmv_runtime_static,1,3,10,0.00149022
spmv_runtime_static,1,4,10,0.00145148
spmv_runtime_static,1,5,10,0.00147186
spmv_runtime_static,1,6,10,0.00143615
spmv_runtime_static,1,7,10,0.00139861
spmv_runtime_static,1,8,10,0.00145025
spmv_runtime_static,1,9,10,0.00149592
spmv_runtime_static,1,10,10,0.00146212
spmv_runtime_static,2,1,10,0.00165545
spmv_runtime_static,2,2,10,0.00166468
spmv_runtime_static,2,3,10,0.00179139
spmv_runtime_static,2,4,10,0.00239743
spmv_runtime_static,2,5,10,0.00183201
spmv_runtime_static,2,6,10,0.00178175
spmv_runtime_static,2,7,10,0.00168357
spmv_runtime_static,2,8,10,0.00111205
spmv_runtime_static,2,9,10,0.00164692
spmv_runtime_static,2,10,10,0.00110593
spmv_runtime_static,4,1,10,0.00102398
spmv_runtime_static,4,2,10,0.0010418
spmv_runtime_static,4,3,10,0.00104798
spmv_runtime_static,4,4,10,0.000842091
spmv_runtime_static,4,5,10,0.00106522
spmv_runtime_static,4,6,10,0.000835033
spmv_runtime_static,4,7,10,0.00103082
spmv_runtime_static,4,8,10,0.00106324
spmv_runtime_static,4,9,10,0.0010285
spmv_runtime_static,4,10,10,0.000877412
spmv_runtime_static,8,1,10,0.00100986
spmv_runtime_static,8,2,10,0.00109661
spmv_runtime_static,8,3,10,0.00088607
spmv_runtime_static,8,4,10,0.00092249
spmv_runtime_static,8,5,10,0.000937331
spmv_runtime_static,8,6,10,0.00088542
spmv_runtime_static,8,7,10,0.00101351
spmv_runtime_static,8,8,10,0.00111154
spmv_runtime_static,8,9,10,0.00115765
spmv_runtime_static,8,10,10,0.00112973
spmv_runtime_static,16,1,10,0.00261286
spmv_runtime_static,16,2,10,0.00251422
spmv_runtime_static,16,3,10,0.00259673
spmv_runtime_static,16,4,10,0.00273978
spmv_runtime_static,16,5,10,0.00264537
spmv_runtime_static,16,6,10,0.00251736
spmv_runtime_static,16,7,10,0.00276704
spmv_runtime_static,16,8,10,0.00273767
spmv_runtime_static,16,9,10,0.00276055
spmv_runtime_static,16,10,10,0.00252626
spmv_runtime_static,32,1,10,0.00591457
spmv_runtime_static,32,2,10,0.00571961
spmv_runtime_static,32,3,10,0.00584045
spmv_runtime_static,32,4,10,0.00543679
spmv_runtime_static,32,5,10,0.00628141
spmv_runtime_static,32,6,10,0.00535203
spmv_runtime_static,32,7,10,0.00563898
spmv_runtime_static,32,8,10,0.00551822
spmv_runtime_static,32,9,10,0.00548374
spmv_runtime_static,32,10,10,0.00564747
spmv_runtime_static,64,1,10,0.00647419
