Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00238774
spmv_runtime_static,1,2,10,0.00238043
spmv_runtime_static,1,3,10,0.00240028
spmv_runtime_static,1,4,10,0.00239355
spmv_runtime_static,1,5,10,0.00237134
spmv_runtime_static,1,6,10,0.00236908
spmv_runtime_static,1,7,10,0.00237286
spmv_runtime_static,1,8,10,0.00237143
spmv_runtime_static,1,9,10,0.00240116
spmv_runtime_static,1,10,10,0.00238054
spmv_runtime_static,2,1,10,0.00450862
spmv_runtime_static,2,2,10,0.00449426
spmv_runtime_static,2,3,10,0.00449284
spmv_runtime_static,2,4,10,0.00449151
spmv_runtime_static,2,5,10,0.00448768
spmv_runtime_static,2,6,10,0.00448469
spmv_runtime_static,2,7,10,0.00449409
spmv_runtime_static,2,8,10,0.004491
spmv_runtime_static,2,9,10,0.00448754
spmv_runtime_static,2,10,10,0.004496
spmv_runtime_static,4,1,10,0.00248776
spmv_runtime_static,4,2,10,0.00249505
spmv_runtime_static,4,3,10,0.00250226
spmv_runtime_static,4,4,10,0.00245354
spmv_runtime_static,4,5,10,0.00331081
spmv_runtime_static,4,6,10,0.00288454
spmv_runtime_static,4,7,10,0.00246781
spmv_runtime_static,4,8,10,0.0024543
spmv_runtime_static,4,9,10,0.00247844
spmv_runtime_static,4,10,10,0.00245629
spmv_runtime_static,8,1,10,0.00142369
spmv_runtime_static,8,2,10,0.00148127
spmv_runtime_static,8,3,10,0.00142499
spmv_runtime_static,8,4,10,0.00146116
spmv_runtime_static,8,5,10,0.00144197
spmv_runtime_static,8,6,10,0.00144223
spmv_runtime_static,8,7,10,0.00141382
spmv_runtime_static,8,8,10,0.0014191
spmv_runtime_static,8,9,10,0.00143802
spmv_runtime_static,8,10,10,0.00140315
spmv_runtime_static,16,1,10,0.00104695
spmv_runtime_static,16,2,10,0.00108221
spmv_runtime_static,16,3,10,0.0010459
spmv_runtime_static,16,4,10,0.00105493
spmv_runtime_static,16,5,10,0.00102266
spmv_runtime_static,16,6,10,0.00103176
spmv_runtime_static,16,7,10,0.00103106
spmv_runtime_static,16,8,10,0.00104504
spmv_runtime_static,16,9,10,0.00102584
spmv_runtime_static,16,10,10,0.00107478
spmv_runtime_static,32,1,10,0.00116871
spmv_runtime_static,32,2,10,0.00123985
spmv_runtime_static,32,3,10,0.00108396
spmv_runtime_static,32,4,10,0.0015488
spmv_runtime_static,32,5,10,0.00115323
spmv_runtime_static,32,6,10,0.00106512
spmv_runtime_static,32,7,10,0.00138655
spmv_runtime_static,32,8,10,0.00105542
spmv_runtime_static,32,9,10,0.001194
spmv_runtime_static,32,10,10,0.0010221
spmv_runtime_static,64,1,10,0.00204566
spmv_runtime_static,64,2,10,0.00191058
spmv_runtime_static,64,3,10,0.00211451
spmv_runtime_static,64,4,10,0.00212189
spmv_runtime_static,64,5,10,0.00226932
spmv_runtime_static,64,6,10,0.00214233
spmv_runtime_static,64,7,10,0.00200642
spmv_runtime_static,64,8,10,0.00229402
spmv_runtime_static,64,9,10,0.00168712
spmv_runtime_static,64,10,10,0.00213514
spmv_runtime_static,96,1,10,0.0200465
spmv_runtime_static,96,2,10,0.0126493
spmv_runtime_static,96,3,10,0.0168513
spmv_runtime_static,96,4,10,0.0193409
spmv_runtime_static,96,5,10,0.0195078
spmv_runtime_static,96,6,10,0.0128835
spmv_runtime_static,96,7,10,0.0172392
spmv_runtime_static,96,8,10,0.017239
spmv_runtime_static,96,9,10,0.0132435
spmv_runtime_static,96,10,10,0.0180069
spmv_runtime_static,1,1,100,0.00238786
spmv_runtime_static,1,2,100,0.00237374
spmv_runtime_static,1,3,100,0.00238923
spmv_runtime_static,1,4,100,0.00239788
spmv_runtime_static,1,5,100,0.00238216
spmv_runtime_static,1,6,100,0.00239659
spmv_runtime_static,1,7,100,0.00238113
spmv_runtime_static,1,8,100,0.00237352
spmv_runtime_static,1,9,100,0.00237788
spmv_runtime_static,1,10,100,0.00238947
spmv_runtime_static,2,1,100,0.00433341
spmv_runtime_static,2,2,100,0.00434175
spmv_runtime_static,2,3,100,0.0043358
spmv_runtime_static,2,4,100,0.00433404
spmv_runtime_static,2,5,100,0.00433344
spmv_runtime_static,2,6,100,0.00433047
spmv_runtime_static,2,7,100,0.00432927
spmv_runtime_static,2,8,100,0.00433374
spmv_runtime_static,2,9,100,0.00433504
spmv_runtime_static,2,10,100,0.00433549
spmv_runtime_static,4,1,100,0.00246958
spmv_runtime_static,4,2,100,0.00248968
spmv_runtime_static,4,3,100,0.00242459
spmv_runtime_static,4,4,100,0.00240057
spmv_runtime_static,4,5,100,0.00245664
spmv_runtime_static,4,6,100,0.00245011
spmv_runtime_static,4,7,100,0.00247158
spmv_runtime_static,4,8,100,0.00240494
spmv_runtime_static,4,9,100,0.00244943
spmv_runtime_static,4,10,100,0.00245647
spmv_runtime_static,8,1,100,0.00140932
spmv_runtime_static,8,2,100,0.00142827
spmv_runtime_static,8,3,100,0.00139773
spmv_runtime_static,8,4,100,0.00152318
spmv_runtime_static,8,5,100,0.00156072
spmv_runtime_static,8,6,100,0.00142023
spmv_runtime_static,8,7,100,0.00143351
spmv_runtime_static,8,8,100,0.00145248
spmv_runtime_static,8,9,100,0.00141704
spmv_runtime_static,8,10,100,0.00141476
spmv_runtime_static,16,1,100,0.00103983
spmv_runtime_static,16,2,100,0.00101492
spmv_runtime_static,16,3,100,0.00111755
spmv_runtime_static,16,4,100,0.00107323
spmv_runtime_static,16,5,100,0.000974524
spmv_runtime_static,16,6,100,0.00112093
spmv_runtime_static,16,7,100,0.00102579
spmv_runtime_static,16,8,100,0.00103262
spmv_runtime_static,16,9,100,0.00118064
spmv_runtime_static,16,10,100,0.00118945
spmv_runtime_static,32,1,100,0.00116626
spmv_runtime_static,32,2,100,0.00120831
spmv_runtime_static,32,3,100,0.00119637
spmv_runtime_static,32,4,100,0.0011637
spmv_runtime_static,32,5,100,0.00116191
spmv_runtime_static,32,6,100,0.00115888
spmv_runtime_static,32,7,100,0.00120734
spmv_runtime_static,32,8,100,0.00111821
spmv_runtime_static,32,9,100,0.00113423
spmv_runtime_static,32,10,100,0.00114136
spmv_runtime_static,64,1,100,0.00177309
spmv_runtime_static,64,2,100,0.0017389
spmv_runtime_static,64,3,100,0.00162331
spmv_runtime_static,64,4,100,0.00155153
spmv_runtime_static,64,5,100,0.00183502
spmv_runtime_static,64,6,100,0.0014925
spmv_runtime_static,64,7,100,0.00182214
spmv_runtime_static,64,8,100,0.00172942
spmv_runtime_static,64,9,100,0.00152794
spmv_runtime_static,64,10,100,0.00146016
spmv_runtime_static,96,1,100,0.0190458
spmv_runtime_static,96,2,100,0.0142698
spmv_runtime_static,96,3,100,0.013361
spmv_runtime_static,96,4,100,0.0120792
spmv_runtime_static,96,5,100,0.0120113
spmv_runtime_static,96,6,100,0.0178274
spmv_runtime_static,96,7,100,0.0190938
spmv_runtime_static,96,8,100,0.0152159
spmv_runtime_static,96,9,100,0.0165172
spmv_runtime_static,96,10,100,0.0119269
spmv_runtime_static,1,1,1000,0.00238099
spmv_runtime_static,1,2,1000,0.00237428
spmv_runtime_static,1,3,1000,0.00237495
spmv_runtime_static,1,4,1000,0.00236844
spmv_runtime_static,1,5,1000,0.00237004
spmv_runtime_static,1,6,1000,0.00237228
spmv_runtime_static,1,7,1000,0.00237677
spmv_runtime_static,1,8,1000,0.00237202
spmv_runtime_static,1,9,1000,0.00240139
spmv_runtime_static,1,10,1000,0.00239098
spmv_runtime_static,2,1,1000,0.00427547
spmv_runtime_static,2,2,1000,0.00428605
spmv_runtime_static,2,3,1000,0.00427601
spmv_runtime_static,2,4,1000,0.00426393
spmv_runtime_static,2,5,1000,0.00424952
spmv_runtime_static,2,6,1000,0.00425503
spmv_runtime_static,2,7,1000,0.00425051
spmv_runtime_static,2,8,1000,0.00427243
spmv_runtime_static,2,9,1000,0.00427593
spmv_runtime_static,2,10,1000,0.00426332
spmv_runtime_static,4,1,1000,0.00248852
spmv_runtime_static,4,2,1000,0.00248755
spmv_runtime_static,4,3,1000,0.00246995
spmv_runtime_static,4,4,1000,0.00245185
spmv_runtime_static,4,5,1000,0.00258141
spmv_runtime_static,4,6,1000,0.0025312
spmv_runtime_static,4,7,1000,0.00248317
spmv_runtime_static,4,8,1000,0.00258864
spmv_runtime_static,4,9,1000,0.0024806
spmv_runtime_static,4,10,1000,0.00245805
spmv_runtime_static,8,1,1000,0.00140873
spmv_runtime_static,8,2,1000,0.00150171
spmv_runtime_static,8,3,1000,0.0014184
spmv_runtime_static,8,4,1000,0.00140878
spmv_runtime_static,8,5,1000,0.00150856
spmv_runtime_static,8,6,1000,0.00139719
spmv_runtime_static,8,7,1000,0.00144562
spmv_runtime_static,8,8,1000,0.00149353
spmv_runtime_static,8,9,1000,0.00140923
spmv_runtime_static,8,10,1000,0.0014336
spmv_runtime_static,16,1,1000,0.00172909
spmv_runtime_static,16,2,1000,0.001597
spmv_runtime_static,16,3,1000,0.00159451
spmv_runtime_static,16,4,1000,0.00161753
spmv_runtime_static,16,5,1000,0.0016264
spmv_runtime_static,16,6,1000,0.00162054
spmv_runtime_static,16,7,1000,0.00152199
spmv_runtime_static,16,8,1000,0.00163918
spmv_runtime_static,16,9,1000,0.00161839
spmv_runtime_static,16,10,1000,0.00159635
spmv_runtime_static,32,1,1000,0.00192766
spmv_runtime_static,32,2,1000,0.0018046
spmv_runtime_static,32,3,1000,0.00197526
spmv_runtime_static,32,4,1000,0.00184413
spmv_runtime_static,32,5,1000,0.00186018
spmv_runtime_static,32,6,1000,0.00189236
spmv_runtime_static,32,7,1000,0.00225183
spmv_runtime_static,32,8,1000,0.00193351
spmv_runtime_static,32,9,1000,0.00196844
spmv_runtime_static,32,10,1000,0.00194301
spmv_runtime_static,64,1,1000,0.00265464
spmv_runtime_static,64,2,1000,0.00265932
spmv_runtime_static,64,3,1000,0.0024871
spmv_runtime_static,64,4,1000,0.00254204
spmv_runtime_static,64,5,1000,0.00255654
spmv_runtime_static,64,6,1000,0.00248845
spmv_runtime_static,64,7,1000,0.00247733
spmv_runtime_static,64,8,1000,0.00256066
spmv_runtime_static,64,9,1000,0.00253554
spmv_runtime_static,64,10,1000,0.00251639
spmv_runtime_static,96,1,1000,0.0193491
spmv_runtime_static,96,2,1000,0.0164777
spmv_runtime_static,96,3,1000,0.0167055
spmv_runtime_static,96,4,1000,0.0141955
