Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000499786
spmv_runtime_static,1,2,10,0.000497361
spmv_runtime_static,1,3,10,0.000496517
spmv_runtime_static,1,4,10,0.000499626
spmv_runtime_static,1,5,10,0.000498356
spmv_runtime_static,1,6,10,0.000505172
spmv_runtime_static,1,7,10,0.00050261
spmv_runtime_static,1,8,10,0.00050169
spmv_runtime_static,1,9,10,0.00051021
spmv_runtime_static,1,10,10,0.00049136
spmv_runtime_static,2,1,10,0.00104415
spmv_runtime_static,2,2,10,0.00103835
spmv_runtime_static,2,3,10,0.00103903
spmv_runtime_static,2,4,10,0.00104373
spmv_runtime_static,2,5,10,0.00103927
spmv_runtime_static,2,6,10,0.00104255
spmv_runtime_static,2,7,10,0.00103856
spmv_runtime_static,2,8,10,0.00103716
spmv_runtime_static,2,9,10,0.00104204
spmv_runtime_static,2,10,10,0.00103763
spmv_runtime_static,4,1,10,0.000721946
spmv_runtime_static,4,2,10,0.000786324
spmv_runtime_static,4,3,10,0.000722636
spmv_runtime_static,4,4,10,0.000687664
spmv_runtime_static,4,5,10,0.000696988
spmv_runtime_static,4,6,10,0.000723831
spmv_runtime_static,4,7,10,0.000746917
spmv_runtime_static,4,8,10,0.000721453
spmv_runtime_static,4,9,10,0.000896144
spmv_runtime_static,4,10,10,0.000725025
spmv_runtime_static,8,1,10,0.000515988
spmv_runtime_static,8,2,10,0.00052185
spmv_runtime_static,8,3,10,0.000541977
spmv_runtime_static,8,4,10,0.000544613
spmv_runtime_static,8,5,10,0.000564056
spmv_runtime_static,8,6,10,0.000500816
spmv_runtime_static,8,7,10,0.000521876
spmv_runtime_static,8,8,10,0.000496902
spmv_runtime_static,8,9,10,0.000500522
spmv_runtime_static,8,10,10,0.000535223
spmv_runtime_static,16,1,10,0.000536227
spmv_runtime_static,16,2,10,0.000527592
spmv_runtime_static,16,3,10,0.000508893
spmv_runtime_static,16,4,10,0.000530059
spmv_runtime_static,16,5,10,0.000601796
spmv_runtime_static,16,6,10,0.000513649
spmv_runtime_static,16,7,10,0.000551959
spmv_runtime_static,16,8,10,0.00053105
spmv_runtime_static,16,9,10,0.0005427
spmv_runtime_static,16,10,10,0.000492337
spmv_runtime_static,32,1,10,0.00133117
spmv_runtime_static,32,2,10,0.00118257
spmv_runtime_static,32,3,10,0.000701069
spmv_runtime_static,32,4,10,0.000694948
spmv_runtime_static,32,5,10,0.0011699
spmv_runtime_static,32,6,10,0.00118412
spmv_runtime_static,32,7,10,0.000691312
spmv_runtime_static,32,8,10,0.00123234
spmv_runtime_static,32,9,10,0.00113344
spmv_runtime_static,32,10,10,0.000657374
spmv_runtime_static,64,1,10,0.00202778
spmv_runtime_static,64,2,10,0.00166772
spmv_runtime_static,64,3,10,0.00180245
spmv_runtime_static,64,4,10,0.00207385
spmv_runtime_static,64,5,10,0.00177727
spmv_runtime_static,64,6,10,0.00181107
spmv_runtime_static,64,7,10,0.00174601
spmv_runtime_static,64,8,10,0.0018336
spmv_runtime_static,64,9,10,0.00208063
spmv_runtime_static,64,10,10,0.00187436
spmv_runtime_static,96,1,10,0.0199652
spmv_runtime_static,96,2,10,0.0174435
spmv_runtime_static,96,3,10,0.0164063
spmv_runtime_static,96,4,10,0.0180994
spmv_runtime_static,96,5,10,0.020471
spmv_runtime_static,96,6,10,0.0159487
spmv_runtime_static,96,7,10,0.0183217
spmv_runtime_static,96,8,10,0.0158994
spmv_runtime_static,96,9,10,0.0164833
spmv_runtime_static,96,10,10,0.0140525
spmv_runtime_static,1,1,100,0.0004907
spmv_runtime_static,1,2,100,0.000490948
spmv_runtime_static,1,3,100,0.000491391
spmv_runtime_static,1,4,100,0.000493453
spmv_runtime_static,1,5,100,0.000503853
spmv_runtime_static,1,6,100,0.00050509
spmv_runtime_static,1,7,100,0.000493211
spmv_runtime_static,1,8,100,0.000491738
spmv_runtime_static,1,9,100,0.000497434
spmv_runtime_static,1,10,100,0.000508875
spmv_runtime_static,2,1,100,0.00097041
spmv_runtime_static,2,2,100,0.000985136
spmv_runtime_static,2,3,100,0.00101171
spmv_runtime_static,2,4,100,0.00100189
spmv_runtime_static,2,5,100,0.000993375
spmv_runtime_static,2,6,100,0.00101034
spmv_runtime_static,2,7,100,0.000994337
spmv_runtime_static,2,8,100,0.00100412
spmv_runtime_static,2,9,100,0.000992819
spmv_runtime_static,2,10,100,0.00101314
spmv_runtime_static,4,1,100,0.000631415
spmv_runtime_static,4,2,100,0.000635006
spmv_runtime_static,4,3,100,0.000694909
spmv_runtime_static,4,4,100,0.000833401
spmv_runtime_static,4,5,100,0.000594165
spmv_runtime_static,4,6,100,0.000602541
spmv_runtime_static,4,7,100,0.0006242
spmv_runtime_static,4,8,100,0.000688323
spmv_runtime_static,4,9,100,0.0007674
spmv_runtime_static,4,10,100,0.000641453
spmv_runtime_static,8,1,100,0.000470352
spmv_runtime_static,8,2,100,0.000493495
spmv_runtime_static,8,3,100,0.000473815
spmv_runtime_static,8,4,100,0.000464542
spmv_runtime_static,8,5,100,0.000487962
spmv_runtime_static,8,6,100,0.000476996
spmv_runtime_static,8,7,100,0.000464415
spmv_runtime_static,8,8,100,0.000445095
spmv_runtime_static,8,9,100,0.000484341
spmv_runtime_static,8,10,100,0.000448341
spmv_runtime_static,16,1,100,0.000500886
spmv_runtime_static,16,2,100,0.000521921
spmv_runtime_static,16,3,100,0.000567022
spmv_runtime_static,16,4,100,0.000490787
spmv_runtime_static,16,5,100,0.000513656
spmv_runtime_static,16,6,100,0.000522215
spmv_runtime_static,16,7,100,0.000493553
spmv_runtime_static,16,8,100,0.000503444
spmv_runtime_static,16,9,100,0.000510285
spmv_runtime_static,16,10,100,0.000510596
spmv_runtime_static,32,1,100,0.000749093
spmv_runtime_static,32,2,100,0.000725583
spmv_runtime_static,32,3,100,0.000721094
spmv_runtime_static,32,4,100,0.000791919
spmv_runtime_static,32,5,100,0.000715112
spmv_runtime_static,32,6,100,0.000736778
spmv_runtime_static,32,7,100,0.000725891
spmv_runtime_static,32,8,100,0.000800442
spmv_runtime_static,32,9,100,0.000737865
spmv_runtime_static,32,10,100,0.000729998
spmv_runtime_static,64,1,100,0.0013339
spmv_runtime_static,64,2,100,0.00170633
spmv_runtime_static,64,3,100,0.00121948
spmv_runtime_static,64,4,100,0.00118494
