Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.00237727
spmv_sequential,1,2,NA,0.00237442
spmv_sequential,1,3,NA,0.00251798
spmv_sequential,1,4,NA,0.00235347
spmv_sequential,1,5,NA,0.00236897
spmv_sequential,1,6,NA,0.00235271
spmv_sequential,1,7,NA,0.00238936
spmv_sequential,1,8,NA,0.00235513
spmv_sequential,1,9,NA,0.0023534
spmv_sequential,1,10,NA,0.00236678
spmv_sequential,2,1,NA,0.00235299
spmv_sequential,2,2,NA,0.00240875
spmv_sequential,2,3,NA,0.00237519
spmv_sequential,2,4,NA,0.0023517
spmv_sequential,2,5,NA,0.00236132
spmv_sequential,2,6,NA,0.0023701
spmv_sequential,2,7,NA,0.00235119
spmv_sequential,2,8,NA,0.00235402
spmv_sequential,2,9,NA,0.00236318
spmv_sequential,2,10,NA,0.00236411
spmv_sequential,4,1,NA,0.00237637
spmv_sequential,4,2,NA,0.00236812
spmv_sequential,4,3,NA,0.00236175
spmv_sequential,4,4,NA,0.00236313
spmv_sequential,4,5,NA,0.00236343
spmv_sequential,4,6,NA,0.00234944
spmv_sequential,4,7,NA,0.00236371
spmv_sequential,4,8,NA,0.00236231
spmv_sequential,4,9,NA,0.00235629
spmv_sequential,4,10,NA,0.00235876
spmv_sequential,8,1,NA,0.00245609
spmv_sequential,8,2,NA,0.002357
spmv_sequential,8,3,NA,0.00236391
spmv_sequential,8,4,NA,0.0023983
spmv_sequential,8,5,NA,0.00235069
spmv_sequential,8,6,NA,0.00235283
spmv_sequential,8,7,NA,0.00235234
spmv_sequential,8,8,NA,0.00236347
spmv_sequential,8,9,NA,0.00235534
spmv_sequential,8,10,NA,0.00235977
spmv_sequential,16,1,NA,0.00236217
spmv_sequential,16,2,NA,0.00236266
spmv_sequential,16,3,NA,0.00236037
spmv_sequential,16,4,NA,0.00237286
spmv_sequential,16,5,NA,0.00235362
spmv_sequential,16,6,NA,0.00236776
spmv_sequential,16,7,NA,0.00235253
spmv_sequential,16,8,NA,0.00236187
spmv_sequential,16,9,NA,0.0023536
spmv_sequential,16,10,NA,0.002358
spmv_sequential,32,1,NA,0.002373
spmv_sequential,32,2,NA,0.00235372
spmv_sequential,32,3,NA,0.00244975
spmv_sequential,32,4,NA,0.00236091
spmv_sequential,32,5,NA,0.00237202
spmv_sequential,32,6,NA,0.00236103
spmv_sequential,32,7,NA,0.00236034
spmv_sequential,32,8,NA,0.0023552
spmv_sequential,32,9,NA,0.00236337
spmv_sequential,32,10,NA,0.00235659
spmv_sequential,64,1,NA,0.0023601
spmv_sequential,64,2,NA,0.0023664
spmv_sequential,64,3,NA,0.00235767
spmv_sequential,64,4,NA,0.00235284
spmv_sequential,64,5,NA,0.00235307
spmv_sequential,64,6,NA,0.00236368
spmv_sequential,64,7,NA,0.00235432
spmv_sequential,64,8,NA,0.00237059
spmv_sequential,64,9,NA,0.00235436
spmv_sequential,64,10,NA,0.00236576
spmv_sequential,96,1,NA,0.00235887
spmv_sequential,96,2,NA,0.00235263
spmv_sequential,96,3,NA,0.00235941
spmv_sequential,96,4,NA,0.00235059
spmv_sequential,96,5,NA,0.00237049
spmv_sequential,96,6,NA,0.00237274
spmv_sequential,96,7,NA,0.0023547
spmv_sequential,96,8,NA,0.00235851
spmv_sequential,96,9,NA,0.00235802
spmv_sequential,96,10,NA,0.00237386
spmv_static,1,1,NA,0.00238331
spmv_static,1,2,NA,0.00237376
spmv_static,1,3,NA,0.00236976
spmv_static,1,4,NA,0.00237239
spmv_static,1,5,NA,0.00237123
spmv_static,1,6,NA,0.00237101
spmv_static,1,7,NA,0.00238549
spmv_static,1,8,NA,0.0023759
spmv_static,1,9,NA,0.00238379
spmv_static,1,10,NA,0.00237028
spmv_static,2,1,NA,0.00163391
spmv_static,2,2,NA,0.00186621
spmv_static,2,3,NA,0.00147918
spmv_static,2,4,NA,0.00141808
spmv_static,2,5,NA,0.00175752
spmv_static,2,6,NA,0.00147052
spmv_static,2,7,NA,0.00206901
spmv_static,2,8,NA,0.00188252
spmv_static,2,9,NA,0.0018404
spmv_static,2,10,NA,0.00175938
spmv_static,4,1,NA,0.0010255
spmv_static,4,2,NA,0.00100597
spmv_static,4,3,NA,0.00127894
spmv_static,4,4,NA,0.0013081
spmv_static,4,5,NA,0.00136787
spmv_static,4,6,NA,0.0014376
spmv_static,4,7,NA,0.00157599
spmv_static,4,8,NA,0.000861363
spmv_static,4,9,NA,0.000956058
spmv_static,4,10,NA,0.00157639
spmv_static,8,1,NA,0.00108476
spmv_static,8,2,NA,0.000921605
spmv_static,8,3,NA,0.00105346
spmv_static,8,4,NA,0.000782874
spmv_static,8,5,NA,0.00079714
spmv_static,8,6,NA,0.000940642
spmv_static,8,7,NA,0.000976841
spmv_static,8,8,NA,0.000821077
spmv_static,8,9,NA,0.000637303
spmv_static,8,10,NA,0.000601379
spmv_static,16,1,NA,0.000908391
spmv_static,16,2,NA,0.000805182
spmv_static,16,3,NA,0.000683118
spmv_static,16,4,NA,0.000890288
spmv_static,16,5,NA,0.000807168
spmv_static,16,6,NA,0.000877554
spmv_static,16,7,NA,0.000957592
spmv_static,16,8,NA,0.000702594
spmv_static,16,9,NA,0.000717833
spmv_static,16,10,NA,0.000688728
spmv_static,32,1,NA,0.00105041
spmv_static,32,2,NA,0.00120036
spmv_static,32,3,NA,0.0010962
spmv_static,32,4,NA,0.000970677
spmv_static,32,5,NA,0.000972472
spmv_static,32,6,NA,0.000929855
spmv_static,32,7,NA,0.0010968
spmv_static,32,8,NA,0.000900753
spmv_static,32,9,NA,0.00115039
spmv_static,32,10,NA,0.000997876
spmv_static,64,1,NA,0.0018262
spmv_static,64,2,NA,0.00152989
spmv_static,64,3,NA,0.00142809
spmv_static,64,4,NA,0.00178445
spmv_static,64,5,NA,0.00161873
spmv_static,64,6,NA,0.00176385
spmv_static,64,7,NA,0.00166046
spmv_static,64,8,NA,0.00182601
spmv_static,64,9,NA,0.00171981
spmv_static,64,10,NA,0.00159969
spmv_static,96,1,NA,0.0102738
spmv_static,96,2,NA,0.00986219
spmv_static,96,3,NA,0.00981023
spmv_static,96,4,NA,0.00984973
spmv_static,96,5,NA,0.00997986
spmv_static,96,6,NA,0.0098873
spmv_static,96,7,NA,0.0100186
spmv_static,96,8,NA,0.00993633
spmv_static,96,9,NA,0.0100517
spmv_static,96,10,NA,0.0100199
spmv_manual,1,1,NA,0.00230958
spmv_manual,1,2,NA,0.00229742
