Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.0023871
spmv_runtime_static,1,2,10,0.00239014
spmv_runtime_static,1,3,10,0.00237385
spmv_runtime_static,1,4,10,0.00238849
spmv_runtime_static,1,5,10,0.00238024
spmv_runtime_static,1,6,10,0.00237905
spmv_runtime_static,1,7,10,0.00239085
spmv_runtime_static,1,8,10,0.00237342
spmv_runtime_static,1,9,10,0.00237946
spmv_runtime_static,1,10,10,0.00236571
spmv_runtime_static,2,1,10,0.0022012
spmv_runtime_static,2,2,10,0.00209907
spmv_runtime_static,2,3,10,0.00151086
spmv_runtime_static,2,4,10,0.00170512
spmv_runtime_static,2,5,10,0.00146529
spmv_runtime_static,2,6,10,0.00180178
spmv_runtime_static,2,7,10,0.00219184
spmv_runtime_static,2,8,10,0.00158808
spmv_runtime_static,2,9,10,0.00169439
spmv_runtime_static,2,10,10,0.00168539
spmv_runtime_static,4,1,10,0.00118687
spmv_runtime_static,4,2,10,0.00100299
spmv_runtime_static,4,3,10,0.00157089
spmv_runtime_static,4,4,10,0.00133472
spmv_runtime_static,4,5,10,0.00107325
spmv_runtime_static,4,6,10,0.00133214
spmv_runtime_static,4,7,10,0.00134821
spmv_runtime_static,4,8,10,0.000988775
spmv_runtime_static,4,9,10,0.00101919
spmv_runtime_static,4,10,10,0.00135327
spmv_runtime_static,8,1,10,0.00104539
spmv_runtime_static,8,2,10,0.000606494
spmv_runtime_static,8,3,10,0.00077033
spmv_runtime_static,8,4,10,0.000741961
spmv_runtime_static,8,5,10,0.000955351
spmv_runtime_static,8,6,10,0.00110496
spmv_runtime_static,8,7,10,0.000940266
spmv_runtime_static,8,8,10,0.000722508
spmv_runtime_static,8,9,10,0.00111172
spmv_runtime_static,8,10,10,0.000931599
spmv_runtime_static,16,1,10,0.000802499
spmv_runtime_static,16,2,10,0.000700044
spmv_runtime_static,16,3,10,0.000787064
spmv_runtime_static,16,4,10,0.000868436
spmv_runtime_static,16,5,10,0.0010619
spmv_runtime_static,16,6,10,0.00102171
spmv_runtime_static,16,7,10,0.00082628
spmv_runtime_static,16,8,10,0.000625886
spmv_runtime_static,16,9,10,0.000853754
spmv_runtime_static,16,10,10,0.000684496
spmv_runtime_static,32,1,10,0.00127248
spmv_runtime_static,32,2,10,0.00125218
spmv_runtime_static,32,3,10,0.00110552
spmv_runtime_static,32,4,10,0.00134653
spmv_runtime_static,32,5,10,0.00126512
spmv_runtime_static,32,6,10,0.000941253
spmv_runtime_static,32,7,10,0.00103299
spmv_runtime_static,32,8,10,0.00105078
spmv_runtime_static,32,9,10,0.000910547
spmv_runtime_static,32,10,10,0.00102498
spmv_runtime_static,64,1,10,0.00172237
spmv_runtime_static,64,2,10,0.00209118
spmv_runtime_static,64,3,10,0.00204469
spmv_runtime_static,64,4,10,0.00178155
spmv_runtime_static,64,5,10,0.00191349
spmv_runtime_static,64,6,10,0.00211548
spmv_runtime_static,64,7,10,0.00157245
spmv_runtime_static,64,8,10,0.00193036
spmv_runtime_static,64,9,10,0.00187326
