Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000253217
spmv_sequential,1,2,NA,0.00025907
spmv_sequential,1,3,NA,0.000241983
spmv_sequential,1,4,NA,0.000244282
spmv_sequential,1,5,NA,0.000253716
spmv_sequential,1,6,NA,0.00024424
spmv_sequential,1,7,NA,0.000241894
spmv_sequential,1,8,NA,0.000242509
spmv_sequential,1,9,NA,0.000244179
spmv_sequential,1,10,NA,0.00024819
spmv_sequential,2,1,NA,0.00024311
spmv_sequential,2,2,NA,0.000244957
spmv_sequential,2,3,NA,0.00025829
spmv_sequential,2,4,NA,0.000273245
spmv_sequential,2,5,NA,0.000242038
spmv_sequential,2,6,NA,0.000253227
spmv_sequential,2,7,NA,0.000257267
spmv_sequential,2,8,NA,0.00024803
spmv_sequential,2,9,NA,0.000258877
spmv_sequential,2,10,NA,0.000247996
spmv_sequential,4,1,NA,0.000242747
spmv_sequential,4,2,NA,0.000248588
spmv_sequential,4,3,NA,0.000241162
spmv_sequential,4,4,NA,0.000255724
spmv_sequential,4,5,NA,0.000242965
spmv_sequential,4,6,NA,0.000242921
spmv_sequential,4,7,NA,0.000243028
spmv_sequential,4,8,NA,0.00024281
spmv_sequential,4,9,NA,0.000242733
spmv_sequential,4,10,NA,0.000241677
spmv_sequential,8,1,NA,0.000241713
spmv_sequential,8,2,NA,0.00025823
spmv_sequential,8,3,NA,0.000258231
spmv_sequential,8,4,NA,0.000242352
spmv_sequential,8,5,NA,0.000247452
spmv_sequential,8,6,NA,0.000258149
spmv_sequential,8,7,NA,0.000241732
spmv_sequential,8,8,NA,0.000241389
spmv_sequential,8,9,NA,0.00024345
spmv_sequential,8,10,NA,0.000256619
spmv_sequential,16,1,NA,0.000243098
spmv_sequential,16,2,NA,0.000242607
spmv_sequential,16,3,NA,0.000244029
spmv_sequential,16,4,NA,0.000242795
spmv_sequential,16,5,NA,0.000246566
spmv_sequential,16,6,NA,0.000243595
spmv_sequential,16,7,NA,0.000247693
spmv_sequential,16,8,NA,0.000241099
spmv_sequential,16,9,NA,0.000241234
spmv_sequential,16,10,NA,0.000241354
spmv_sequential,32,1,NA,0.000253789
spmv_sequential,32,2,NA,0.00024137
spmv_sequential,32,3,NA,0.000246493
spmv_sequential,32,4,NA,0.00024867
spmv_sequential,32,5,NA,0.00024132
spmv_sequential,32,6,NA,0.000241214
spmv_sequential,32,7,NA,0.000242684
spmv_sequential,32,8,NA,0.000265468
spmv_sequential,32,9,NA,0.000257158
spmv_sequential,32,10,NA,0.00025728
spmv_sequential,64,1,NA,0.000242692
spmv_sequential,64,2,NA,0.000256994
spmv_sequential,64,3,NA,0.000243347
spmv_sequential,64,4,NA,0.000243229
spmv_sequential,64,5,NA,0.000248084
spmv_sequential,64,6,NA,0.000248482
spmv_sequential,64,7,NA,0.000242868
spmv_sequential,64,8,NA,0.00025045
spmv_sequential,64,9,NA,0.000259466
spmv_sequential,64,10,NA,0.000255837
spmv_sequential,96,1,NA,0.000242618
spmv_sequential,96,2,NA,0.000262094
spmv_sequential,96,3,NA,0.000244268
spmv_sequential,96,4,NA,0.000243392
spmv_sequential,96,5,NA,0.000245051
spmv_sequential,96,6,NA,0.000248997
spmv_sequential,96,7,NA,0.000242244
spmv_sequential,96,8,NA,0.000243935
spmv_sequential,96,9,NA,0.000244022
spmv_sequential,96,10,NA,0.000243675
spmv_static,1,1,NA,0.000275657
spmv_static,1,2,NA,0.000251001
spmv_static,1,3,NA,0.000258447
spmv_static,1,4,NA,0.000249782
spmv_static,1,5,NA,0.000254733
spmv_static,1,6,NA,0.000249984
spmv_static,1,7,NA,0.000259409
spmv_static,1,8,NA,0.000251125
spmv_static,1,9,NA,0.000252006
spmv_static,1,10,NA,0.000254488
spmv_static,2,1,NA,0.00058106
spmv_static,2,2,NA,0.000409342
spmv_static,2,3,NA,0.000566018
spmv_static,2,4,NA,0.000520838
spmv_static,2,5,NA,0.000457808
spmv_static,2,6,NA,0.000574177
spmv_static,2,7,NA,0.000559811
spmv_static,2,8,NA,0.000554138
spmv_static,2,9,NA,0.000557126
spmv_static,2,10,NA,0.000564119
spmv_static,4,1,NA,0.000388253
spmv_static,4,2,NA,0.000374459
spmv_static,4,3,NA,0.000403583
spmv_static,4,4,NA,0.000383377
spmv_static,4,5,NA,0.000414713
spmv_static,4,6,NA,0.000381748
spmv_static,4,7,NA,0.000385307
spmv_static,4,8,NA,0.000374706
spmv_static,4,9,NA,0.000406282
spmv_static,4,10,NA,0.000387269
spmv_static,8,1,NA,0.000325541
spmv_static,8,2,NA,0.000348547
spmv_static,8,3,NA,0.000328092
spmv_static,8,4,NA,0.000334007
spmv_static,8,5,NA,0.000346634
spmv_static,8,6,NA,0.000325616
spmv_static,8,7,NA,0.000356062
spmv_static,8,8,NA,0.000258776
spmv_static,8,9,NA,0.000265155
spmv_static,8,10,NA,0.000334699
spmv_static,16,1,NA,0.000859332
spmv_static,16,2,NA,0.000436242
spmv_static,16,3,NA,0.00040551
spmv_static,16,4,NA,0.000432765
spmv_static,16,5,NA,0.000425334
spmv_static,16,6,NA,0.000434181
spmv_static,16,7,NA,0.000498197
spmv_static,16,8,NA,0.000432581
spmv_static,16,9,NA,0.000413047
spmv_static,16,10,NA,0.000452856
spmv_static,32,1,NA,0.000820439
spmv_static,32,2,NA,0.00169891
spmv_static,32,3,NA,0.000766633
spmv_static,32,4,NA,0.000763216
spmv_static,32,5,NA,0.000737415
spmv_static,32,6,NA,0.000734895
spmv_static,32,7,NA,0.000764651
spmv_static,32,8,NA,0.000769657
spmv_static,32,9,NA,0.000738611
spmv_static,32,10,NA,0.000775801
spmv_static,64,1,NA,0.00211543
spmv_static,64,2,NA,0.00154623
spmv_static,64,3,NA,0.00153785
spmv_static,64,4,NA,0.00141948
spmv_static,64,5,NA,0.00150151
spmv_static,64,6,NA,0.00157437
spmv_static,64,7,NA,0.00146415
spmv_static,64,8,NA,0.00145757
spmv_static,64,9,NA,0.00137489
spmv_static,64,10,NA,0.00137723
spmv_static,96,1,NA,0.0097542
spmv_static,96,2,NA,0.00976822
spmv_static,96,3,NA,0.00991591
spmv_static,96,4,NA,0.00980647
spmv_static,96,5,NA,0.00980339
spmv_static,96,6,NA,0.00986554
spmv_static,96,7,NA,0.00989783
spmv_static,96,8,NA,0.00987541
spmv_static,96,9,NA,0.00967529
spmv_static,96,10,NA,0.00990113
spmv_manual,1,1,NA,0.000249397
spmv_manual,1,2,NA,0.000245693
spmv_manual,1,3,NA,0.000251847
spmv_manual,1,4,NA,0.000234224
spmv_manual,1,5,NA,0.000236375
spmv_manual,1,6,NA,0.000232734
spmv_manual,1,7,NA,0.000257617
spmv_manual,1,8,NA,0.00023385
spmv_manual,1,9,NA,0.000248278
spmv_manual,1,10,NA,0.000239473
spmv_manual,2,1,NA,0.000525919
spmv_manual,2,2,NA,0.000564098
spmv_manual,2,3,NA,0.000436195
spmv_manual,2,4,NA,0.00047001
spmv_manual,2,5,NA,0.000379805
spmv_manual,2,6,NA,0.000477734
spmv_manual,2,7,NA,0.000490069
spmv_manual,2,8,NA,0.00047047
spmv_manual,2,9,NA,0.000546087
spmv_manual,2,10,NA,0.000549485
spmv_manual,4,1,NA,0.000371243
spmv_manual,4,2,NA,0.00036006
spmv_manual,4,3,NA,0.000377204
spmv_manual,4,4,NA,0.000356762
spmv_manual,4,5,NA,0.000399895
spmv_manual,4,6,NA,0.00037184
spmv_manual,4,7,NA,0.000349833
spmv_manual,4,8,NA,0.000354114
spmv_manual,4,9,NA,0.000361387
spmv_manual,4,10,NA,0.000352504
spmv_manual,8,1,NA,0.000328421
spmv_manual,8,2,NA,0.000350714
spmv_manual,8,3,NA,0.00033077
spmv_manual,8,4,NA,0.000326174
spmv_manual,8,5,NA,0.000352463
spmv_manual,8,6,NA,0.00029606
spmv_manual,8,7,NA,0.000341113
spmv_manual,8,8,NA,0.000345079
