Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.0018541
spmv_sequential,1,2,NA,0.00170578
spmv_sequential,1,3,NA,0.00169087
spmv_sequential,1,4,NA,0.00169294
spmv_sequential,1,5,NA,0.00169497
spmv_sequential,1,6,NA,0.00170453
spmv_sequential,1,7,NA,0.00170677
spmv_sequential,1,8,NA,0.00171749
spmv_sequential,1,9,NA,0.00169595
spmv_sequential,1,10,NA,0.00169472
spmv_sequential,2,1,NA,0.00169212
spmv_sequential,2,2,NA,0.0017075
spmv_sequential,2,3,NA,0.00171796
spmv_sequential,2,4,NA,0.00179607
spmv_sequential,2,5,NA,0.00170048
spmv_sequential,2,6,NA,0.00169964
spmv_sequential,2,7,NA,0.00170666
spmv_sequential,2,8,NA,0.00169983
spmv_sequential,2,9,NA,0.00170128
spmv_sequential,2,10,NA,0.00180678
spmv_sequential,4,1,NA,0.0016946
spmv_sequential,4,2,NA,0.0016935
spmv_sequential,4,3,NA,0.0017082
spmv_sequential,4,4,NA,0.00170293
spmv_sequential,4,5,NA,0.00169984
spmv_sequential,4,6,NA,0.00169633
spmv_sequential,4,7,NA,0.00169236
spmv_sequential,4,8,NA,0.00169384
spmv_sequential,4,9,NA,0.00169447
spmv_sequential,4,10,NA,0.00169583
spmv_sequential,8,1,NA,0.00169697
spmv_sequential,8,2,NA,0.00169386
spmv_sequential,8,3,NA,0.00169639
spmv_sequential,8,4,NA,0.00169884
spmv_sequential,8,5,NA,0.00169586
spmv_sequential,8,6,NA,0.0017
spmv_sequential,8,7,NA,0.00169804
spmv_sequential,8,8,NA,0.00170165
spmv_sequential,8,9,NA,0.0016999
spmv_sequential,8,10,NA,0.00169785
spmv_sequential,16,1,NA,0.00169133
spmv_sequential,16,2,NA,0.00169763
spmv_sequential,16,3,NA,0.00169745
spmv_sequential,16,4,NA,0.00169516
spmv_sequential,16,5,NA,0.00169702
spmv_sequential,16,6,NA,0.0016983
spmv_sequential,16,7,NA,0.00169757
spmv_sequential,16,8,NA,0.00169613
spmv_sequential,16,9,NA,0.00169747
spmv_sequential,16,10,NA,0.00169328
spmv_sequential,32,1,NA,0.00169877
spmv_sequential,32,2,NA,0.00169656
spmv_sequential,32,3,NA,0.00169759
spmv_sequential,32,4,NA,0.00169608
spmv_sequential,32,5,NA,0.00169441
spmv_sequential,32,6,NA,0.00169367
spmv_sequential,32,7,NA,0.0016967
spmv_sequential,32,8,NA,0.00170292
spmv_sequential,32,9,NA,0.00169287
spmv_sequential,32,10,NA,0.00169954
spmv_sequential,64,1,NA,0.00169555
spmv_sequential,64,2,NA,0.00169263
spmv_sequential,64,3,NA,0.00169933
spmv_sequential,64,4,NA,0.00170005
spmv_sequential,64,5,NA,0.00169206
spmv_sequential,64,6,NA,0.00169949
spmv_sequential,64,7,NA,0.00169067
