Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00171399
spmv_runtime_static,1,2,10,0.0017116
spmv_runtime_static,1,3,10,0.00170602
spmv_runtime_static,1,4,10,0.00172182
spmv_runtime_static,1,5,10,0.00170739
spmv_runtime_static,1,6,10,0.00170985
spmv_runtime_static,1,7,10,0.00170227
spmv_runtime_static,1,8,10,0.00171622
spmv_runtime_static,1,9,10,0.00171516
spmv_runtime_static,1,10,10,0.00171347
spmv_runtime_static,2,1,10,0.00167257
spmv_runtime_static,2,2,10,0.00110781
spmv_runtime_static,2,3,10,0.00138997
spmv_runtime_static,2,4,10,0.00111274
spmv_runtime_static,2,5,10,0.00144882
spmv_runtime_static,2,6,10,0.00152838
spmv_runtime_static,2,7,10,0.00175189
spmv_runtime_static,2,8,10,0.00133456
spmv_runtime_static,2,9,10,0.00146208
spmv_runtime_static,2,10,10,0.00118573
spmv_runtime_static,4,1,10,0.000761297
spmv_runtime_static,4,2,10,0.000983108
spmv_runtime_static,4,3,10,0.00149955
spmv_runtime_static,4,4,10,0.00101643
spmv_runtime_static,4,5,10,0.00105568
spmv_runtime_static,4,6,10,0.00149803
spmv_runtime_static,4,7,10,0.000748024
spmv_runtime_static,4,8,10,0.00166059
spmv_runtime_static,4,9,10,0.0012107
spmv_runtime_static,4,10,10,0.000990278
spmv_runtime_static,8,1,10,0.000864283
spmv_runtime_static,8,2,10,0.000863355
spmv_runtime_static,8,3,10,0.000708299
spmv_runtime_static,8,4,10,0.000881608
spmv_runtime_static,8,5,10,0.000684581
spmv_runtime_static,8,6,10,0.000582928
spmv_runtime_static,8,7,10,0.000816495
spmv_runtime_static,8,8,10,0.000733451
spmv_runtime_static,8,9,10,0.000552468
spmv_runtime_static,8,10,10,0.000759928
spmv_runtime_static,16,1,10,0.000607317
spmv_runtime_static,16,2,10,0.000751218
spmv_runtime_static,16,3,10,0.000558865
spmv_runtime_static,16,4,10,0.000626713
spmv_runtime_static,16,5,10,0.000802627
