Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000460663
spmv_sequential,1,2,NA,0.000468991
spmv_sequential,1,3,NA,0.000471578
spmv_sequential,1,4,NA,0.00046178
spmv_sequential,1,5,NA,0.000455881
spmv_sequential,1,6,NA,0.00046646
spmv_sequential,1,7,NA,0.000467187
spmv_sequential,1,8,NA,0.000456033
spmv_sequential,1,9,NA,0.000466583
spmv_sequential,1,10,NA,0.000464876
spmv_sequential,2,1,NA,0.000472842
spmv_sequential,2,2,NA,0.000454634
spmv_sequential,2,3,NA,0.000466889
spmv_sequential,2,4,NA,0.00045575
spmv_sequential,2,5,NA,0.000474758
spmv_sequential,2,6,NA,0.00045978
spmv_sequential,2,7,NA,0.000458887
spmv_sequential,2,8,NA,0.000462216
spmv_sequential,2,9,NA,0.000455049
spmv_sequential,2,10,NA,0.000461578
spmv_sequential,4,1,NA,0.00045505
spmv_sequential,4,2,NA,0.000462425
spmv_sequential,4,3,NA,0.000455703
spmv_sequential,4,4,NA,0.000458566
spmv_sequential,4,5,NA,0.000455811
spmv_sequential,4,6,NA,0.000456613
spmv_sequential,4,7,NA,0.000454525
spmv_sequential,4,8,NA,0.000458437
spmv_sequential,4,9,NA,0.000473081
spmv_sequential,4,10,NA,0.000455019
spmv_sequential,8,1,NA,0.000457382
spmv_sequential,8,2,NA,0.000455495
spmv_sequential,8,3,NA,0.000459648
spmv_sequential,8,4,NA,0.00045719
spmv_sequential,8,5,NA,0.000461436
spmv_sequential,8,6,NA,0.000455383
spmv_sequential,8,7,NA,0.000461576
spmv_sequential,8,8,NA,0.000455917
spmv_sequential,8,9,NA,0.000472355
spmv_sequential,8,10,NA,0.000455651
spmv_sequential,16,1,NA,0.000454658
spmv_sequential,16,2,NA,0.000455808
spmv_sequential,16,3,NA,0.000467719
spmv_sequential,16,4,NA,0.000455406
spmv_sequential,16,5,NA,0.000459712
spmv_sequential,16,6,NA,0.000454607
spmv_sequential,16,7,NA,0.000454931
spmv_sequential,16,8,NA,0.000454857
spmv_sequential,16,9,NA,0.000455455
spmv_sequential,16,10,NA,0.000460866
spmv_sequential,32,1,NA,0.000455246
spmv_sequential,32,2,NA,0.000465218
spmv_sequential,32,3,NA,0.000458024
spmv_sequential,32,4,NA,0.000455305
spmv_sequential,32,5,NA,0.000461203
spmv_sequential,32,6,NA,0.000467279
spmv_sequential,32,7,NA,0.000455629
spmv_sequential,32,8,NA,0.000454489
spmv_sequential,32,9,NA,0.000462913
spmv_sequential,32,10,NA,0.000454406
spmv_sequential,64,1,NA,0.000460118
spmv_sequential,64,2,NA,0.00045453
spmv_sequential,64,3,NA,0.000458454
spmv_sequential,64,4,NA,0.000459857
spmv_sequential,64,5,NA,0.000455335
spmv_sequential,64,6,NA,0.000454646
spmv_sequential,64,7,NA,0.000459633
spmv_sequential,64,8,NA,0.000455446
spmv_sequential,64,9,NA,0.000456844
spmv_sequential,64,10,NA,0.000459874
spmv_sequential,96,1,NA,0.000460702
spmv_sequential,96,2,NA,0.000459955
spmv_sequential,96,3,NA,0.000461007
spmv_sequential,96,4,NA,0.000454842
spmv_sequential,96,5,NA,0.000455277
spmv_sequential,96,6,NA,0.000455379
spmv_sequential,96,7,NA,0.000455444
spmv_sequential,96,8,NA,0.000460612
spmv_sequential,96,9,NA,0.000455348
spmv_sequential,96,10,NA,0.000454914
spmv_static,1,1,NA,0.000492075
spmv_static,1,2,NA,0.000491458
spmv_static,1,3,NA,0.000486037
spmv_static,1,4,NA,0.000485267
spmv_static,1,5,NA,0.000488715
spmv_static,1,6,NA,0.00048604
spmv_static,1,7,NA,0.000487739
spmv_static,1,8,NA,0.000487133
spmv_static,1,9,NA,0.00049242
spmv_static,1,10,NA,0.00049139
spmv_static,2,1,NA,0.00100407
spmv_static,2,2,NA,0.000523667
spmv_static,2,3,NA,0.00091782
spmv_static,2,4,NA,0.000725879
spmv_static,2,5,NA,0.000642452
spmv_static,2,6,NA,0.000428578
spmv_static,2,7,NA,0.000507093
spmv_static,2,8,NA,0.00100102
spmv_static,2,9,NA,0.000929276
spmv_static,2,10,NA,0.000590749
spmv_static,4,1,NA,0.000306566
spmv_static,4,2,NA,0.000667356
spmv_static,4,3,NA,0.00064397
spmv_static,4,4,NA,0.000643481
spmv_static,4,5,NA,0.000408289
spmv_static,4,6,NA,0.00049263
spmv_static,4,7,NA,0.000408345
spmv_static,4,8,NA,0.00064323
spmv_static,4,9,NA,0.000326064
spmv_static,4,10,NA,0.000657349
spmv_static,8,1,NA,0.000473583
spmv_static,8,2,NA,0.000484359
spmv_static,8,3,NA,0.000478287
spmv_static,8,4,NA,0.000462312
spmv_static,8,5,NA,0.000437945
spmv_static,8,6,NA,0.000416534
spmv_static,8,7,NA,0.000472263
spmv_static,8,8,NA,0.000493559
spmv_static,8,9,NA,0.000470612
spmv_static,8,10,NA,0.000478902
spmv_static,16,1,NA,0.000518479
spmv_static,16,2,NA,0.000581495
