Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.00049537
spmv_runtime_static,1,2,10,0.000502475
spmv_runtime_static,1,3,10,0.000491777
spmv_runtime_static,1,4,10,0.000488647
spmv_runtime_static,1,5,10,0.000494421
spmv_runtime_static,1,6,10,0.000494545
spmv_runtime_static,1,7,10,0.000496028
spmv_runtime_static,1,8,10,0.000491414
spmv_runtime_static,1,9,10,0.000487805
spmv_runtime_static,1,10,10,0.000486767
spmv_runtime_static,2,1,10,0.00055305
spmv_runtime_static,2,2,10,0.000483898
spmv_runtime_static,2,3,10,0.00074147
spmv_runtime_static,2,4,10,0.00103106
spmv_runtime_static,2,5,10,0.000802908
spmv_runtime_static,2,6,10,0.000965628
spmv_runtime_static,2,7,10,0.000856507
spmv_runtime_static,2,8,10,0.000651079
spmv_runtime_static,2,9,10,0.00102367
spmv_runtime_static,2,10,10,0.000879527
spmv_runtime_static,4,1,10,0.000427206
spmv_runtime_static,4,2,10,0.000399215
spmv_runtime_static,4,3,10,0.000665148
spmv_runtime_static,4,4,10,0.000545662
spmv_runtime_static,4,5,10,0.000452787
spmv_runtime_static,4,6,10,0.000649808
spmv_runtime_static,4,7,10,0.000853737
spmv_runtime_static,4,8,10,0.000668459
spmv_runtime_static,4,9,10,0.000631329
spmv_runtime_static,4,10,10,0.000675562
spmv_runtime_static,8,1,10,0.000464776
spmv_runtime_static,8,2,10,0.000473428
spmv_runtime_static,8,3,10,0.000507921
spmv_runtime_static,8,4,10,0.000413842
spmv_runtime_static,8,5,10,0.000481878
spmv_runtime_static,8,6,10,0.000481931
spmv_runtime_static,8,7,10,0.000472319
spmv_runtime_static,8,8,10,0.000465299
spmv_runtime_static,8,9,10,0.000472947
spmv_runtime_static,8,10,10,0.000499438
spmv_runtime_static,16,1,10,0.000530083
spmv_runtime_static,16,2,10,0.000505909
spmv_runtime_static,16,3,10,0.000516019
spmv_runtime_static,16,4,10,0.000466678
spmv_runtime_static,16,5,10,0.000461513
spmv_runtime_static,16,6,10,0.000535615
spmv_runtime_static,16,7,10,0.000502539
spmv_runtime_static,16,8,10,0.000467669
spmv_runtime_static,16,9,10,0.000468245
spmv_runtime_static,16,10,10,0.000555586
spmv_runtime_static,32,1,10,0.00107413
spmv_runtime_static,32,2,10,0.000986572
spmv_runtime_static,32,3,10,0.00108585
spmv_runtime_static,32,4,10,0.000976848
spmv_runtime_static,32,5,10,0.00100367
spmv_runtime_static,32,6,10,0.000960479
spmv_runtime_static,32,7,10,0.00072825
spmv_runtime_static,32,8,10,0.00107262
spmv_runtime_static,32,9,10,0.000831792
spmv_runtime_static,32,10,10,0.00113916
spmv_runtime_static,64,1,10,0.0017614
spmv_runtime_static,64,2,10,0.00166105
spmv_runtime_static,64,3,10,0.00174278
spmv_runtime_static,64,4,10,0.00147368
spmv_runtime_static,64,5,10,0.00157073
spmv_runtime_static,64,6,10,0.00174725
spmv_runtime_static,64,7,10,0.00180676
spmv_runtime_static,64,8,10,0.00155526
spmv_runtime_static,64,9,10,0.0016252
spmv_runtime_static,64,10,10,0.00180618
spmv_runtime_static,96,1,10,0.010229
spmv_runtime_static,96,2,10,0.0101886
spmv_runtime_static,96,3,10,0.00980355
spmv_runtime_static,96,4,10,0.0102233
spmv_runtime_static,96,5,10,0.0148665
spmv_runtime_static,96,6,10,0.0100904
spmv_runtime_static,96,7,10,0.0101143
spmv_runtime_static,96,8,10,0.0150854
spmv_runtime_static,96,9,10,0.0103224
spmv_runtime_static,96,10,10,0.0100909
spmv_runtime_static,1,1,100,0.00049636
spmv_runtime_static,1,2,100,0.000494533
spmv_runtime_static,1,3,100,0.000507095
spmv_runtime_static,1,4,100,0.000492192
spmv_runtime_static,1,5,100,0.000496895
spmv_runtime_static,1,6,100,0.00048919
spmv_runtime_static,1,7,100,0.000495287
spmv_runtime_static,1,8,100,0.000496731
spmv_runtime_static,1,9,100,0.000493323
spmv_runtime_static,1,10,100,0.000493404
spmv_runtime_static,2,1,100,0.000963407
spmv_runtime_static,2,2,100,0.000991345
spmv_runtime_static,2,3,100,0.000850558
spmv_runtime_static,2,4,100,0.00063394
spmv_runtime_static,2,5,100,0.000560455
spmv_runtime_static,2,6,100,0.000747113
spmv_runtime_static,2,7,100,0.000620082
spmv_runtime_static,2,8,100,0.000921024
spmv_runtime_static,2,9,100,0.000596855
spmv_runtime_static,2,10,100,0.000657465
spmv_runtime_static,4,1,100,0.000585306
spmv_runtime_static,4,2,100,0.000358893
spmv_runtime_static,4,3,100,0.000306539
spmv_runtime_static,4,4,100,0.000604206
spmv_runtime_static,4,5,100,0.000303931
spmv_runtime_static,4,6,100,0.000420071
spmv_runtime_static,4,7,100,0.000453539
spmv_runtime_static,4,8,100,0.000382528
spmv_runtime_static,4,9,100,0.000452599
spmv_runtime_static,4,10,100,0.000548369
spmv_runtime_static,8,1,100,0.000456495
spmv_runtime_static,8,2,100,0.000452911
spmv_runtime_static,8,3,100,0.000431686
spmv_runtime_static,8,4,100,0.000444697
spmv_runtime_static,8,5,100,0.000450883
spmv_runtime_static,8,6,100,0.000352901
spmv_runtime_static,8,7,100,0.000324305
spmv_runtime_static,8,8,100,0.000439757
spmv_runtime_static,8,9,100,0.000497686
spmv_runtime_static,8,10,100,0.000327374
spmv_runtime_static,16,1,100,0.000514619
spmv_runtime_static,16,2,100,0.00049438
spmv_runtime_static,16,3,100,0.000439799
spmv_runtime_static,16,4,100,0.000498669
spmv_runtime_static,16,5,100,0.000479853
spmv_runtime_static,16,6,100,0.00052367
spmv_runtime_static,16,7,100,0.000513256
spmv_runtime_static,16,8,100,0.000485202
spmv_runtime_static,16,9,100,0.000494995
spmv_runtime_static,16,10,100,0.000511611
spmv_runtime_static,32,1,100,0.000762857
spmv_runtime_static,32,2,100,0.000779685
spmv_runtime_static,32,3,100,0.000808114
spmv_runtime_static,32,4,100,0.000740533
spmv_runtime_static,32,5,100,0.000725234
spmv_runtime_static,32,6,100,0.000745104
spmv_runtime_static,32,7,100,0.000804905
spmv_runtime_static,32,8,100,0.000762571
spmv_runtime_static,32,9,100,0.000709557
spmv_runtime_static,32,10,100,0.000715787
spmv_runtime_static,64,1,100,0.00458543
spmv_runtime_static,64,2,100,0.00135127
spmv_runtime_static,64,3,100,0.00135867
spmv_runtime_static,64,4,100,0.00147958
spmv_runtime_static,64,5,100,0.0013891
spmv_runtime_static,64,6,100,0.00143133
spmv_runtime_static,64,7,100,0.0014796
spmv_runtime_static,64,8,100,0.00126944
spmv_runtime_static,64,9,100,0.0014004
spmv_runtime_static,64,10,100,0.00139261
spmv_runtime_static,96,1,100,0.00987941
spmv_runtime_static,96,2,100,0.00968517
spmv_runtime_static,96,3,100,0.0100763
spmv_runtime_static,96,4,100,0.00976103
spmv_runtime_static,96,5,100,0.00991723
spmv_runtime_static,96,6,100,0.00983903
spmv_runtime_static,96,7,100,0.00981182
spmv_runtime_static,96,8,100,0.00984464
spmv_runtime_static,96,9,100,0.00998823
spmv_runtime_static,96,10,100,0.00995277
spmv_runtime_static,1,1,1000,0.000496231
spmv_runtime_static,1,2,1000,0.00048848
spmv_runtime_static,1,3,1000,0.000496011
spmv_runtime_static,1,4,1000,0.000488696
spmv_runtime_static,1,5,1000,0.000489624
spmv_runtime_static,1,6,1000,0.000495169
spmv_runtime_static,1,7,1000,0.000487591
spmv_runtime_static,1,8,1000,0.000514976
spmv_runtime_static,1,9,1000,0.000488637
spmv_runtime_static,1,10,1000,0.000493557
spmv_runtime_static,2,1,1000,0.000971168
spmv_runtime_static,2,2,1000,0.000777797
spmv_runtime_static,2,3,1000,0.000399933
spmv_runtime_static,2,4,1000,0.000925151
spmv_runtime_static,2,5,1000,0.00088622
spmv_runtime_static,2,6,1000,0.000983539
spmv_runtime_static,2,7,1000,0.000668162
spmv_runtime_static,2,8,1000,0.000805689
spmv_runtime_static,2,9,1000,0.000544751
spmv_runtime_static,2,10,1000,0.000656778
spmv_runtime_static,4,1,1000,0.000537721
spmv_runtime_static,4,2,1000,0.000559959
spmv_runtime_static,4,3,1000,0.000555144
spmv_runtime_static,4,4,1000,0.000683912
spmv_runtime_static,4,5,1000,0.000666457
spmv_runtime_static,4,6,1000,0.000698571
spmv_runtime_static,4,7,1000,0.000699825
spmv_runtime_static,4,8,1000,0.000703589
spmv_runtime_static,4,9,1000,0.000659964
spmv_runtime_static,4,10,1000,0.000536568
spmv_runtime_static,8,1,1000,0.000568248
spmv_runtime_static,8,2,1000,0.000556644
spmv_runtime_static,8,3,1000,0.000555731
spmv_runtime_static,8,4,1000,0.000567353
spmv_runtime_static,8,5,1000,0.000558915
spmv_runtime_static,8,6,1000,0.000508483
spmv_runtime_static,8,7,1000,0.000534261
spmv_runtime_static,8,8,1000,0.000533851
spmv_runtime_static,8,9,1000,0.000327918
spmv_runtime_static,8,10,1000,0.00046475
spmv_runtime_static,16,1,1000,0.000691106
spmv_runtime_static,16,2,1000,0.000714945
spmv_runtime_static,16,3,1000,0.000689485
spmv_runtime_static,16,4,1000,0.000564488
spmv_runtime_static,16,5,1000,0.000479439
spmv_runtime_static,16,6,1000,0.000683283
spmv_runtime_static,16,7,1000,0.000778129
spmv_runtime_static,16,8,1000,0.000476037
spmv_runtime_static,16,9,1000,0.000729796
spmv_runtime_static,16,10,1000,0.00072477
spmv_runtime_static,32,1,1000,0.000956203
spmv_runtime_static,32,2,1000,0.001046
spmv_runtime_static,32,3,1000,0.000832201
spmv_runtime_static,32,4,1000,0.000948676
spmv_runtime_static,32,5,1000,0.000977937
spmv_runtime_static,32,6,1000,0.00095591
spmv_runtime_static,32,7,1000,0.000721424
spmv_runtime_static,32,8,1000,0.000789661
spmv_runtime_static,32,9,1000,0.00073664
spmv_runtime_static,32,10,1000,0.000945746
spmv_runtime_static,64,1,1000,0.00140456
spmv_runtime_static,64,2,1000,0.00130787
spmv_runtime_static,64,3,1000,0.00142098
spmv_runtime_static,64,4,1000,0.00127671
spmv_runtime_static,64,5,1000,0.00139649
spmv_runtime_static,64,6,1000,0.00150271
spmv_runtime_static,64,7,1000,0.00129292
spmv_runtime_static,64,8,1000,0.00144335
spmv_runtime_static,64,9,1000,0.00139413
spmv_runtime_static,64,10,1000,0.00122999
spmv_runtime_static,96,1,1000,0.00973903
spmv_runtime_static,96,2,1000,0.0145536
spmv_runtime_static,96,3,1000,0.0145877
spmv_runtime_static,96,4,1000,0.00972393
spmv_runtime_static,96,5,1000,0.00982806
spmv_runtime_static,96,6,1000,0.00975591
spmv_runtime_static,96,7,1000,0.00984782
spmv_runtime_static,96,8,1000,0.00973405
spmv_runtime_static,96,9,1000,0.0098886
spmv_runtime_static,96,10,1000,0.00986883
spmv_runtime_static,1,1,10000,0.000499925
spmv_runtime_static,1,2,10000,0.00048938
spmv_runtime_static,1,3,10000,0.000496389
spmv_runtime_static,1,4,10000,0.000488756
spmv_runtime_static,1,5,10000,0.000494171
spmv_runtime_static,1,6,10000,0.000492566
spmv_runtime_static,1,7,10000,0.000493621
spmv_runtime_static,1,8,10000,0.000494998
spmv_runtime_static,1,9,10000,0.000495964
spmv_runtime_static,1,10,10000,0.000487343
spmv_runtime_static,2,1,10000,0.000586128
spmv_runtime_static,2,2,10000,0.000605026
spmv_runtime_static,2,3,10000,0.00058614
spmv_runtime_static,2,4,10000,0.000587131
spmv_runtime_static,2,5,10000,0.000589916
spmv_runtime_static,2,6,10000,0.000597413
spmv_runtime_static,2,7,10000,0.00058807
spmv_runtime_static,2,8,10000,0.000591576
spmv_runtime_static,2,9,10000,0.000590521
spmv_runtime_static,2,10,10000,0.000590822
spmv_runtime_static,4,1,10000,0.00063839
spmv_runtime_static,4,2,10000,0.000624259
spmv_runtime_static,4,3,10000,0.000617094
spmv_runtime_static,4,4,10000,0.000618317
spmv_runtime_static,4,5,10000,0.000620967
spmv_runtime_static,4,6,10000,0.0006269
spmv_runtime_static,4,7,10000,0.000624256
spmv_runtime_static,4,8,10000,0.000622741
spmv_runtime_static,4,9,10000,0.00062214
spmv_runtime_static,4,10,10000,0.000628424
spmv_runtime_static,8,1,10000,0.000679444
spmv_runtime_static,8,2,10000,0.000713184
spmv_runtime_static,8,3,10000,0.000693059
spmv_runtime_static,8,4,10000,0.000703895
spmv_runtime_static,8,5,10000,0.000701695
spmv_runtime_static,8,6,10000,0.000707297
spmv_runtime_static,8,7,10000,0.00067834
spmv_runtime_static,8,8,10000,0.000699966
spmv_runtime_static,8,9,10000,0.000693591
spmv_runtime_static,8,10,10000,0.000679234
spmv_runtime_static,16,1,10000,0.000894122
