Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000501449
spmv_sequential,1,2,NA,0.000498522
spmv_sequential,1,3,NA,0.000519538
spmv_sequential,1,4,NA,0.00048824
spmv_sequential,1,5,NA,0.000498888
spmv_sequential,1,6,NA,0.000493092
spmv_sequential,1,7,NA,0.000492085
spmv_sequential,1,8,NA,0.000490018
spmv_sequential,1,9,NA,0.000496677
spmv_sequential,1,10,NA,0.00050374
spmv_sequential,1,11,NA,0.000490912
spmv_sequential,1,12,NA,0.000489997
spmv_static,1,1,NA,0.000549348
spmv_static,1,2,NA,0.000529991
spmv_static,1,3,NA,0.0005375
spmv_static,1,4,NA,0.000536167
spmv_static,1,5,NA,0.000550182
spmv_static,1,6,NA,0.000535645
spmv_static,1,7,NA,0.000536359
spmv_static,1,8,NA,0.000556649
spmv_static,1,9,NA,0.00053194
spmv_static,1,10,NA,0.000548046
spmv_static,1,11,NA,0.000536663
spmv_static,1,12,NA,0.000530303
spmv_static,2,1,NA,0.00040683
spmv_static,2,2,NA,0.000421477
spmv_static,2,3,NA,0.000427265
spmv_static,2,4,NA,0.000427151
spmv_static,2,5,NA,0.000430834
spmv_static,2,6,NA,0.000408215
spmv_static,2,7,NA,0.000427187
spmv_static,2,8,NA,0.000416333
spmv_static,2,9,NA,0.000410353
spmv_static,2,10,NA,0.000419383
spmv_static,2,11,NA,0.000401088
spmv_static,2,12,NA,0.000431614
spmv_static,4,1,NA,0.000366307
spmv_static,4,2,NA,0.00036974
spmv_static,4,3,NA,0.000363115
spmv_static,4,4,NA,0.000340056
spmv_static,4,5,NA,0.000344539
spmv_static,4,6,NA,0.000340919
spmv_static,4,7,NA,0.000321873
spmv_static,4,8,NA,0.000316605
spmv_static,4,9,NA,0.000328721
spmv_static,4,10,NA,0.000363585
spmv_static,4,11,NA,0.000368101
spmv_static,4,12,NA,0.000359127
spmv_static,8,1,NA,0.000423301
spmv_static,8,2,NA,0.00041104
spmv_static,8,3,NA,0.00042887
spmv_static,8,4,NA,0.000415475
spmv_static,8,5,NA,0.000450958
spmv_static,8,6,NA,0.000457306
spmv_static,8,7,NA,0.000412853
spmv_static,8,8,NA,0.000442351
spmv_static,8,9,NA,0.000448828
spmv_static,8,10,NA,0.000428366
spmv_static,8,11,NA,0.000409939
spmv_static,8,12,NA,0.000473454
spmv_static,16,1,NA,0.000679352
spmv_static,16,2,NA,0.000717094
spmv_static,16,3,NA,0.00107468
spmv_static,16,4,NA,0.000634131
spmv_static,16,5,NA,0.000648471
spmv_static,16,6,NA,0.000603692
spmv_static,16,7,NA,0.000696873
spmv_static,16,8,NA,0.000608853
spmv_static,16,9,NA,0.000561357
spmv_static,16,10,NA,0.00062116
spmv_static,16,11,NA,0.000615903
spmv_static,16,12,NA,0.000558876
spmv_static,32,1,NA,0.000981195
spmv_static,32,2,NA,0.000938545
spmv_static,32,3,NA,0.00110248
spmv_static,32,4,NA,0.000841876
spmv_static,32,5,NA,0.00111551
spmv_static,32,6,NA,0.000828559
spmv_static,32,7,NA,0.00111826
spmv_static,32,8,NA,0.000908133
spmv_static,32,9,NA,0.000924051
spmv_static,32,10,NA,0.000796143
spmv_static,32,11,NA,0.000958943
spmv_static,32,12,NA,0.000926973
