Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,2.85925e-05
spmv_sequential,1,2,NA,2.81977e-05
spmv_sequential,1,3,NA,2.85897e-05
spmv_sequential,1,4,NA,2.8234e-05
spmv_sequential,1,5,NA,2.8423e-05
spmv_sequential,1,6,NA,2.80598e-05
spmv_sequential,1,7,NA,2.90265e-05
spmv_sequential,1,8,NA,3.25972e-05
spmv_sequential,1,9,NA,2.7989e-05
spmv_sequential,1,10,NA,2.87052e-05
spmv_sequential,1,11,NA,2.76081e-05
spmv_sequential,1,12,NA,2.86223e-05
spmv_static,1,1,NA,4.27952e-05
spmv_static,1,2,NA,4.20585e-05
spmv_static,1,3,NA,4.12539e-05
spmv_static,1,4,NA,4.02452e-05
spmv_static,1,5,NA,3.90606e-05
spmv_static,1,6,NA,3.92189e-05
spmv_static,1,7,NA,4.0493e-05
spmv_static,1,8,NA,3.90215e-05
spmv_static,1,9,NA,3.84534e-05
spmv_static,1,10,NA,4.00962e-05
spmv_static,1,11,NA,3.9693e-05
spmv_static,1,12,NA,4.20185e-05
spmv_static,2,1,NA,8.09776e-05
spmv_static,2,2,NA,7.52471e-05
spmv_static,2,3,NA,7.90209e-05
spmv_static,2,4,NA,7.48821e-05
spmv_static,2,5,NA,7.22101e-05
spmv_static,2,6,NA,7.22753e-05
spmv_static,2,7,NA,7.54585e-05
spmv_static,2,8,NA,8.22153e-05
spmv_static,2,9,NA,8.23708e-05
spmv_static,2,10,NA,7.93999e-05
spmv_static,2,11,NA,7.8625e-05
spmv_static,2,12,NA,9.38168e-05
spmv_static,4,1,NA,0.000132311
spmv_static,4,2,NA,0.00012642
spmv_static,4,3,NA,0.000107684
spmv_static,4,4,NA,0.000128775
spmv_static,4,5,NA,0.00011979
spmv_static,4,6,NA,0.000125479
spmv_static,4,7,NA,0.000114568
spmv_static,4,8,NA,0.000110682
spmv_static,4,9,NA,0.000124144
spmv_static,4,10,NA,0.000122631
spmv_static,4,11,NA,0.000179543
spmv_static,4,12,NA,0.000115382
spmv_static,8,1,NA,0.000257548
spmv_static,8,2,NA,0.000262315
spmv_static,8,3,NA,0.00018499
spmv_static,8,4,NA,0.000189069
spmv_static,8,5,NA,0.000219834
spmv_static,8,6,NA,0.000237195
spmv_static,8,7,NA,0.000192962
spmv_static,8,8,NA,0.000179877
spmv_static,8,9,NA,0.000171574
spmv_static,8,10,NA,0.00023512
spmv_static,8,11,NA,0.000219909
spmv_static,8,12,NA,0.000221752
spmv_static,16,1,NA,0.000350726
spmv_static,16,2,NA,0.000375411
spmv_static,16,3,NA,0.000356923
spmv_static,16,4,NA,0.000298938
spmv_static,16,5,NA,0.000340493
spmv_static,16,6,NA,0.000298526
spmv_static,16,7,NA,0.00036834
spmv_static,16,8,NA,0.000307865
spmv_static,16,9,NA,0.000294824
spmv_static,16,10,NA,0.000295751
