Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,1.4414e-05
spmv_sequential,1,2,NA,2.0298e-05
spmv_sequential,1,3,NA,1.4459e-05
spmv_sequential,1,4,NA,1.619e-05
spmv_sequential,1,5,NA,1.3829e-05
spmv_sequential,1,6,NA,1.5209e-05
spmv_sequential,1,7,NA,1.4205e-05
spmv_sequential,1,8,NA,1.5035e-05
spmv_sequential,1,9,NA,1.4692e-05
spmv_sequential,1,10,NA,1.4426e-05
spmv_sequential,1,11,NA,1.4127e-05
spmv_sequential,1,12,NA,1.6389e-05
spmv_sequential,2,1,NA,1.5861e-05
spmv_sequential,2,2,NA,1.63e-05
spmv_sequential,2,3,NA,1.4963e-05
spmv_sequential,2,4,NA,1.4867e-05
spmv_sequential,2,5,NA,1.4639e-05
spmv_sequential,2,6,NA,1.4669e-05
spmv_sequential,2,7,NA,1.5309e-05
spmv_sequential,2,8,NA,1.4771e-05
spmv_sequential,2,9,NA,1.4563e-05
spmv_sequential,2,10,NA,1.6369e-05
spmv_sequential,2,11,NA,1.4308e-05
spmv_sequential,2,12,NA,1.5067e-05
spmv_sequential,4,1,NA,1.4355e-05
spmv_sequential,4,2,NA,1.5025e-05
spmv_sequential,4,3,NA,1.4686e-05
spmv_sequential,4,4,NA,1.4185e-05
spmv_sequential,4,5,NA,1.8915e-05
spmv_sequential,4,6,NA,1.5637e-05
spmv_sequential,4,7,NA,1.5155e-05
spmv_sequential,4,8,NA,1.8029e-05
spmv_sequential,4,9,NA,1.4505e-05
spmv_sequential,4,10,NA,1.5082e-05
spmv_sequential,4,11,NA,5.5531e-05
spmv_sequential,4,12,NA,1.4983e-05
spmv_sequential,8,1,NA,2.4591e-05
spmv_sequential,8,2,NA,1.4797e-05
spmv_sequential,8,3,NA,1.3845e-05
spmv_sequential,8,4,NA,1.5319e-05
spmv_sequential,8,5,NA,1.4311e-05
spmv_sequential,8,6,NA,2.0171e-05
spmv_sequential,8,7,NA,1.5281e-05
spmv_sequential,8,8,NA,1.4924e-05
spmv_sequential,8,9,NA,1.4672e-05
spmv_sequential,8,10,NA,3.3916e-05
spmv_sequential,8,11,NA,1.5075e-05
spmv_sequential,8,12,NA,1.4347e-05
spmv_sequential,16,1,NA,1.5671e-05
spmv_sequential,16,2,NA,1.4351e-05
spmv_sequential,16,3,NA,1.4492e-05
spmv_sequential,16,4,NA,1.4861e-05
spmv_sequential,16,5,NA,1.5394e-05
spmv_sequential,16,6,NA,1.6224e-05
spmv_sequential,16,7,NA,1.4325e-05
spmv_sequential,16,8,NA,1.403e-05
spmv_sequential,16,9,NA,1.6387e-05
spmv_sequential,16,10,NA,1.5681e-05
spmv_sequential,16,11,NA,1.391e-05
spmv_sequential,16,12,NA,1.4575e-05
spmv_sequential,32,1,NA,6.4797e-05
spmv_sequential,32,2,NA,1.5612e-05
spmv_sequential,32,3,NA,1.4016e-05
spmv_sequential,32,4,NA,1.5398e-05
spmv_sequential,32,5,NA,1.3805e-05
spmv_sequential,32,6,NA,1.5193e-05
spmv_sequential,32,7,NA,1.3914e-05
spmv_sequential,32,8,NA,1.4803e-05
spmv_sequential,32,9,NA,1.4207e-05
spmv_sequential,32,10,NA,1.6292e-05
spmv_sequential,32,11,NA,1.5319e-05
spmv_sequential,32,12,NA,1.4426e-05
spmv_sequential,64,1,NA,1.4477e-05
spmv_sequential,64,2,NA,1.4576e-05
spmv_sequential,64,3,NA,1.5029e-05
spmv_sequential,64,4,NA,1.3613e-05
spmv_sequential,64,5,NA,1.4519e-05
spmv_sequential,64,6,NA,1.3851e-05
spmv_sequential,64,7,NA,1.5784e-05
spmv_sequential,64,8,NA,1.584e-05
spmv_sequential,64,9,NA,1.403e-05
spmv_sequential,64,10,NA,1.4538e-05
spmv_sequential,64,11,NA,1.449e-05
spmv_sequential,64,12,NA,1.3972e-05
spmv_sequential,96,1,NA,6.3863e-05
spmv_sequential,96,2,NA,1.6473e-05
spmv_sequential,96,3,NA,1.7145e-05
spmv_sequential,96,4,NA,1.5652e-05
spmv_sequential,96,5,NA,1.4535e-05
spmv_sequential,96,6,NA,1.9443e-05
spmv_sequential,96,7,NA,1.4731e-05
spmv_sequential,96,8,NA,1.5715e-05
spmv_sequential,96,9,NA,1.5335e-05
spmv_sequential,96,10,NA,1.4484e-05
spmv_sequential,96,11,NA,1.6501e-05
spmv_sequential,96,12,NA,1.6645e-05
spmv_static,1,1,NA,5.4443e-05
spmv_static,1,2,NA,1.8274e-05
spmv_static,1,3,NA,1.9105e-05
spmv_static,1,4,NA,2.4648e-05
spmv_static,1,5,NA,1.8252e-05
spmv_static,1,6,NA,1.9287e-05
spmv_static,1,7,NA,2.2047e-05
spmv_static,1,8,NA,1.9382e-05
spmv_static,1,9,NA,1.9818e-05
spmv_static,1,10,NA,2.0009e-05
spmv_static,1,11,NA,1.8159e-05
spmv_static,1,12,NA,2.2745e-05
spmv_static,2,1,NA,9.5064e-05
spmv_static,2,2,NA,0.000139446
spmv_static,2,3,NA,7.8269e-05
spmv_static,2,4,NA,0.000138447
spmv_static,2,5,NA,0.00012164
spmv_static,2,6,NA,8.2253e-05
spmv_static,2,7,NA,7.1803e-05
spmv_static,2,8,NA,0.00013028
spmv_static,2,9,NA,9.6179e-05
spmv_static,2,10,NA,8.1266e-05
spmv_static,2,11,NA,7.9461e-05
spmv_static,2,12,NA,8.1016e-05
spmv_static,4,1,NA,0.000162537
spmv_static,4,2,NA,0.000188415
spmv_static,4,3,NA,0.000135101
spmv_static,4,4,NA,0.000150645
spmv_static,4,5,NA,0.000164708
spmv_static,4,6,NA,0.000131367
spmv_static,4,7,NA,0.000185406
spmv_static,4,8,NA,0.000154179
spmv_static,4,9,NA,0.000161965
spmv_static,4,10,NA,0.000173573
spmv_static,4,11,NA,0.000180211
spmv_static,4,12,NA,0.000179279
spmv_static,8,1,NA,0.0118513
spmv_static,8,2,NA,0.000280621
spmv_static,8,3,NA,0.00104758
spmv_static,8,4,NA,0.000406505
spmv_static,8,5,NA,0.000388104
spmv_static,8,6,NA,0.000337833
spmv_static,8,7,NA,0.000777775
spmv_static,8,8,NA,0.000318653
spmv_static,8,9,NA,0.000465782
spmv_static,8,10,NA,0.000313586
spmv_static,8,11,NA,0.000290512
spmv_static,8,12,NA,0.000277403
spmv_static,16,1,NA,0.0118528
spmv_static,16,2,NA,0.00792653
spmv_static,16,3,NA,0.00673356
spmv_static,16,4,NA,0.00123776
spmv_static,16,5,NA,0.0133981
spmv_static,16,6,NA,0.00731028
spmv_static,16,7,NA,0.0137299
spmv_static,16,8,NA,0.000516748
spmv_static,16,9,NA,0.00755458
spmv_static,16,10,NA,0.0120693
spmv_static,16,11,NA,0.0159301
spmv_static,16,12,NA,0.0118227
spmv_static,32,1,NA,0.00161184
spmv_static,32,2,NA,0.00213005
spmv_static,32,3,NA,0.00192509
spmv_static,32,4,NA,0.00191577
spmv_static,32,5,NA,0.00177812
spmv_static,32,6,NA,0.00137658
spmv_static,32,7,NA,0.00142604
spmv_static,32,8,NA,0.00127581
spmv_static,32,9,NA,0.00144751
spmv_static,32,10,NA,0.00147749
spmv_static,32,11,NA,0.00130544
spmv_static,32,12,NA,0.00129987
spmv_static,64,1,NA,0.00382804
spmv_static,64,2,NA,0.00426151
spmv_static,64,3,NA,0.00256891
spmv_static,64,4,NA,0.00312517
spmv_static,64,5,NA,0.00309537
spmv_static,64,6,NA,0.00310423
spmv_static,64,7,NA,0.0030316
spmv_static,64,8,NA,0.00252714
spmv_static,64,9,NA,0.00279186
spmv_static,64,10,NA,0.00294312
spmv_static,64,11,NA,0.00262701
spmv_static,64,12,NA,0.00261259
spmv_static,96,1,NA,0.00553827
spmv_static,96,2,NA,0.00522161
spmv_static,96,3,NA,0.00459866
spmv_static,96,4,NA,0.00530905
spmv_static,96,5,NA,0.00611159
spmv_static,96,6,NA,0.00405524
spmv_static,96,7,NA,0.00401788
spmv_static,96,8,NA,0.00538806
spmv_static,96,9,NA,0.00392252
spmv_static,96,10,NA,0.00454835
spmv_static,96,11,NA,0.00426191
spmv_static,96,12,NA,0.00407819
spmv_manual,1,1,NA,2.9245e-05
spmv_manual,1,2,NA,2.1366e-05
spmv_manual,1,3,NA,1.7849e-05
spmv_manual,1,4,NA,2.1657e-05
spmv_manual,1,5,NA,1.9418e-05
spmv_manual,1,6,NA,1.806e-05
spmv_manual,1,7,NA,1.9677e-05
spmv_manual,1,8,NA,1.9321e-05
spmv_manual,1,9,NA,2.2035e-05
spmv_manual,1,10,NA,2.064e-05
spmv_manual,1,11,NA,1.8561e-05
spmv_manual,1,12,NA,1.8589e-05
spmv_manual,2,1,NA,9.5636e-05
spmv_manual,2,2,NA,9.7267e-05
spmv_manual,2,3,NA,8.7695e-05
spmv_manual,2,4,NA,7.2955e-05
spmv_manual,2,5,NA,0.000123733
spmv_manual,2,6,NA,7.3286e-05
spmv_manual,2,7,NA,7.7009e-05
spmv_manual,2,8,NA,0.000113117
spmv_manual,2,9,NA,0.000121595
spmv_manual,2,10,NA,0.000134792
spmv_manual,2,11,NA,0.000132162
spmv_manual,2,12,NA,0.000124539
spmv_manual,4,1,NA,0.00021414
spmv_manual,4,2,NA,0.000212888
spmv_manual,4,3,NA,0.000142871
spmv_manual,4,4,NA,0.000134632
spmv_manual,4,5,NA,0.000169699
spmv_manual,4,6,NA,0.000173782
spmv_manual,4,7,NA,0.000179819
spmv_manual,4,8,NA,0.000182666
spmv_manual,4,9,NA,0.000184114
spmv_manual,4,10,NA,0.000175104
spmv_manual,4,11,NA,0.000166764
spmv_manual,4,12,NA,0.000175077
spmv_manual,8,1,NA,0.00917154
spmv_manual,8,2,NA,0.00544422
spmv_manual,8,3,NA,0.00154286
spmv_manual,8,4,NA,0.000407896
spmv_manual,8,5,NA,0.000408116
spmv_manual,8,6,NA,0.000278885
spmv_manual,8,7,NA,0.000710288
spmv_manual,8,8,NA,0.000255468
spmv_manual,8,9,NA,0.000246242
spmv_manual,8,10,NA,0.000428204
spmv_manual,8,11,NA,0.000270232
spmv_manual,8,12,NA,0.000252276
spmv_manual,16,1,NA,0.0135447
spmv_manual,16,2,NA,0.0129519
spmv_manual,16,3,NA,0.00826832
spmv_manual,16,4,NA,0.0225961
spmv_manual,16,5,NA,0.014298
spmv_manual,16,6,NA,0.0144802
spmv_manual,16,7,NA,0.0105442
spmv_manual,16,8,NA,0.00576701
spmv_manual,16,9,NA,0.00505062
spmv_manual,16,10,NA,0.00851201
spmv_manual,16,11,NA,0.0124041
spmv_manual,16,12,NA,0.00818677
spmv_manual,32,1,NA,0.00139847
spmv_manual,32,2,NA,0.00138109
spmv_manual,32,3,NA,0.00131795
spmv_manual,32,4,NA,0.00138146
spmv_manual,32,5,NA,0.00141535
spmv_manual,32,6,NA,0.00127544
spmv_manual,32,7,NA,0.00127292
spmv_manual,32,8,NA,0.00134886
spmv_manual,32,9,NA,0.00159819
spmv_manual,32,10,NA,0.00133686
spmv_manual,32,11,NA,0.00126831
spmv_manual,32,12,NA,0.00128855
spmv_manual,64,1,NA,0.00316531
spmv_manual,64,2,NA,0.00333318
spmv_manual,64,3,NA,0.00288813
spmv_manual,64,4,NA,0.00300559
spmv_manual,64,5,NA,0.00287884
spmv_manual,64,6,NA,0.00250488
spmv_manual,64,7,NA,0.00252207
spmv_manual,64,8,NA,0.00276266
spmv_manual,64,9,NA,0.00267983
spmv_manual,64,10,NA,0.00261492
spmv_manual,64,11,NA,0.00261893
spmv_manual,64,12,NA,0.00273076
spmv_manual,96,1,NA,0.0039261
spmv_manual,96,2,NA,0.0039937
spmv_manual,96,3,NA,0.00395572
spmv_manual,96,4,NA,0.00437567
spmv_manual,96,5,NA,0.00526495
spmv_manual,96,6,NA,0.00413433
spmv_manual,96,7,NA,0.00404119
spmv_manual,96,8,NA,0.00376616
spmv_manual,96,9,NA,0.00409281
spmv_manual,96,10,NA,0.00411443
spmv_manual,96,11,NA,0.00358407
spmv_manual,96,12,NA,0.0040487
spmv_dynamic,1,1,NA,3.4458e-05
spmv_dynamic,1,2,NA,8.5596e-05
spmv_dynamic,1,3,NA,6.2042e-05
spmv_dynamic,1,4,NA,2.9823e-05
spmv_dynamic,1,5,NA,3.1482e-05
spmv_dynamic,1,6,NA,3.2555e-05
spmv_dynamic,1,7,NA,3.4276e-05
spmv_dynamic,1,8,NA,2.776e-05
spmv_dynamic,1,9,NA,2.9307e-05
spmv_dynamic,1,10,NA,3.3584e-05
spmv_dynamic,1,11,NA,2.9805e-05
spmv_dynamic,1,12,NA,3.0319e-05
spmv_dynamic,2,1,NA,0.000106582
spmv_dynamic,2,2,NA,0.000160601
spmv_dynamic,2,3,NA,0.000161576
spmv_dynamic,2,4,NA,0.0001443
spmv_dynamic,2,5,NA,0.000125301
spmv_dynamic,2,6,NA,0.000148158
spmv_dynamic,2,7,NA,0.000112102
spmv_dynamic,2,8,NA,0.000113803
spmv_dynamic,2,9,NA,0.000153026
spmv_dynamic,2,10,NA,0.000153937
spmv_dynamic,2,11,NA,0.00011363
spmv_dynamic,2,12,NA,0.00012944
spmv_dynamic,4,1,NA,0.000171213
spmv_dynamic,4,2,NA,0.00016259
spmv_dynamic,4,3,NA,0.000404235
spmv_dynamic,4,4,NA,0.000156401
spmv_dynamic,4,5,NA,0.000157339
spmv_dynamic,4,6,NA,0.000155774
spmv_dynamic,4,7,NA,0.000200779
spmv_dynamic,4,8,NA,0.000176365
spmv_dynamic,4,9,NA,0.000182242
spmv_dynamic,4,10,NA,0.000226707
spmv_dynamic,4,11,NA,0.000233358
spmv_dynamic,4,12,NA,0.000204137
spmv_dynamic,8,1,NA,0.0165567
spmv_dynamic,8,2,NA,0.0146006
spmv_dynamic,8,3,NA,0.00540805
spmv_dynamic,8,4,NA,0.00852535
spmv_dynamic,8,5,NA,0.00489735
spmv_dynamic,8,6,NA,0.000316195
spmv_dynamic,8,7,NA,0.000301029
spmv_dynamic,8,8,NA,0.000311976
spmv_dynamic,8,9,NA,0.000302538
spmv_dynamic,8,10,NA,0.000300271
spmv_dynamic,8,11,NA,0.000288149
spmv_dynamic,8,12,NA,0.000288827
spmv_dynamic,16,1,NA,0.0191518
spmv_dynamic,16,2,NA,0.00585257
spmv_dynamic,16,3,NA,0.0108178
spmv_dynamic,16,4,NA,0.0149688
