Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,3.5614e-05
spmv_runtime_static,1,2,10,2.6904e-05
spmv_runtime_static,1,3,10,3.4876e-05
spmv_runtime_static,1,4,10,2.5599e-05
spmv_runtime_static,1,5,10,2.2084e-05
spmv_runtime_static,1,6,10,2.4707e-05
spmv_runtime_static,1,7,10,3.1542e-05
spmv_runtime_static,1,8,10,2.5701e-05
spmv_runtime_static,1,9,10,2.6219e-05
spmv_runtime_static,1,10,10,2.1e-05
spmv_runtime_static,1,11,10,2.4994e-05
spmv_runtime_static,1,12,10,0.000154113
spmv_runtime_static,2,1,10,0.000120748
spmv_runtime_static,2,2,10,0.000108113
spmv_runtime_static,2,3,10,0.000110191
spmv_runtime_static,2,4,10,0.000141344
spmv_runtime_static,2,5,10,0.00014333
spmv_runtime_static,2,6,10,8.5826e-05
spmv_runtime_static,2,7,10,0.000130216
spmv_runtime_static,2,8,10,0.000132153
spmv_runtime_static,2,9,10,0.000136908
spmv_runtime_static,2,10,10,0.000106694
spmv_runtime_static,2,11,10,0.000117227
spmv_runtime_static,2,12,10,0.000136008
spmv_runtime_static,4,1,10,0.000166647
spmv_runtime_static,4,2,10,0.000200919
spmv_runtime_static,4,3,10,0.000162365
spmv_runtime_static,4,4,10,0.000188565
spmv_runtime_static,4,5,10,0.000154709
spmv_runtime_static,4,6,10,0.000184583
spmv_runtime_static,4,7,10,0.000169679
spmv_runtime_static,4,8,10,0.000134657
spmv_runtime_static,4,9,10,0.000167859
spmv_runtime_static,4,10,10,0.000174371
spmv_runtime_static,4,11,10,0.00019723
spmv_runtime_static,4,12,10,0.000163933
spmv_runtime_static,8,1,10,0.0141572
spmv_runtime_static,8,2,10,0.00832077
spmv_runtime_static,8,3,10,0.0169798
spmv_runtime_static,8,4,10,0.00402187
spmv_runtime_static,8,5,10,0.00826367
spmv_runtime_static,8,6,10,0.000541508
spmv_runtime_static,8,7,10,0.00493847
spmv_runtime_static,8,8,10,0.000304314
spmv_runtime_static,8,9,10,0.0102537
spmv_runtime_static,8,10,10,0.000375916
spmv_runtime_static,8,11,10,0.00601936
spmv_runtime_static,8,12,10,0.000331462
spmv_runtime_static,16,1,10,0.0151741
spmv_runtime_static,16,2,10,0.0130551
spmv_runtime_static,16,3,10,0.0187998
spmv_runtime_static,16,4,10,0.0113312
spmv_runtime_static,16,5,10,0.0104014
spmv_runtime_static,16,6,10,0.0128825
spmv_runtime_static,16,7,10,0.000595614
spmv_runtime_static,16,8,10,0.0211882
spmv_runtime_static,16,9,10,0.0126997
spmv_runtime_static,16,10,10,0.0144588
spmv_runtime_static,16,11,10,0.00821345
spmv_runtime_static,16,12,10,0.0072537
spmv_runtime_static,32,1,10,0.00144619
spmv_runtime_static,32,2,10,0.00130817
spmv_runtime_static,32,3,10,0.00133226
spmv_runtime_static,32,4,10,0.00136793
spmv_runtime_static,32,5,10,0.00141924
spmv_runtime_static,32,6,10,0.00168597
spmv_runtime_static,32,7,10,0.00140832
spmv_runtime_static,32,8,10,0.00147092
spmv_runtime_static,32,9,10,0.0014319
spmv_runtime_static,32,10,10,0.00138356
spmv_runtime_static,32,11,10,0.00150049
