Executable,Threads,Run,ChunkSize,Time
spmv_runtime_static,1,1,10,0.000241666
spmv_runtime_static,1,2,10,0.000252346
spmv_runtime_static,1,3,10,0.000271333
spmv_runtime_static,1,4,10,0.000264968
spmv_runtime_static,1,5,10,0.000248036
spmv_runtime_static,1,6,10,0.000255092
spmv_runtime_static,1,7,10,0.000250597
spmv_runtime_static,1,8,10,0.000249366
spmv_runtime_static,1,9,10,0.000233113
spmv_runtime_static,1,10,10,0.000233644
spmv_runtime_static,1,11,10,0.00024398
spmv_runtime_static,1,12,10,0.000241534
spmv_runtime_static,2,1,10,0.000284102
spmv_runtime_static,2,2,10,0.000334579
spmv_runtime_static,2,3,10,0.000322124
spmv_runtime_static,2,4,10,0.000359304
spmv_runtime_static,2,5,10,0.000284767
spmv_runtime_static,2,6,10,0.000307162
spmv_runtime_static,2,7,10,0.000395515
spmv_runtime_static,2,8,10,0.000291418
spmv_runtime_static,2,9,10,0.000287241
spmv_runtime_static,2,10,10,0.000252892
spmv_runtime_static,2,11,10,0.000254143
spmv_runtime_static,2,12,10,0.000288955
spmv_runtime_static,4,1,10,0.000517914
spmv_runtime_static,4,2,10,0.000288396
spmv_runtime_static,4,3,10,0.000277969
spmv_runtime_static,4,4,10,0.000264775
spmv_runtime_static,4,5,10,0.000258614
spmv_runtime_static,4,6,10,0.00438151
spmv_runtime_static,4,7,10,0.000278237
spmv_runtime_static,4,8,10,0.000822121
spmv_runtime_static,4,9,10,0.000294942
spmv_runtime_static,4,10,10,0.000264026
spmv_runtime_static,4,11,10,0.000264653
spmv_runtime_static,4,12,10,0.011163
spmv_runtime_static,8,1,10,0.00582722
spmv_runtime_static,8,2,10,0.0112402
spmv_runtime_static,8,3,10,0.0175152
spmv_runtime_static,8,4,10,0.0193
spmv_runtime_static,8,5,10,0.0124145
spmv_runtime_static,8,6,10,0.012711
spmv_runtime_static,8,7,10,0.0114041
spmv_runtime_static,8,8,10,0.0108564
spmv_runtime_static,8,9,10,0.0127671
spmv_runtime_static,8,10,10,0.0151589
spmv_runtime_static,8,11,10,0.0135512
spmv_runtime_static,8,12,10,0.0151208
spmv_runtime_static,16,1,10,0.0283422
spmv_runtime_static,16,2,10,0.0394263
spmv_runtime_static,16,3,10,0.0235843
spmv_runtime_static,16,4,10,0.019652
spmv_runtime_static,16,5,10,0.0260309
spmv_runtime_static,16,6,10,0.0307485
spmv_runtime_static,16,7,10,0.0222281
spmv_runtime_static,16,8,10,0.0201039
spmv_runtime_static,16,9,10,0.0227806
spmv_runtime_static,16,10,10,0.025865
spmv_runtime_static,16,11,10,0.0277568
spmv_runtime_static,16,12,10,0.0213096
spmv_runtime_static,32,1,10,0.00149605
spmv_runtime_static,32,2,10,0.00190116
spmv_runtime_static,32,3,10,0.00147297
spmv_runtime_static,32,4,10,0.00134103
spmv_runtime_static,32,5,10,0.00174615
spmv_runtime_static,32,6,10,0.00162152
spmv_runtime_static,32,7,10,0.00155975
spmv_runtime_static,32,8,10,0.00177546
spmv_runtime_static,32,9,10,0.00160793
spmv_runtime_static,32,10,10,0.00133975
spmv_runtime_static,32,11,10,0.00150865
spmv_runtime_static,32,12,10,0.0014305
spmv_runtime_static,64,1,10,0.00269355
spmv_runtime_static,64,2,10,0.00327244
spmv_runtime_static,64,3,10,0.00254505
spmv_runtime_static,64,4,10,0.00252974
spmv_runtime_static,64,5,10,0.00465134
spmv_runtime_static,64,6,10,0.00243732
spmv_runtime_static,64,7,10,0.00251636
spmv_runtime_static,64,8,10,0.00250567
spmv_runtime_static,64,9,10,0.00255978
spmv_runtime_static,64,10,10,0.00262457
spmv_runtime_static,64,11,10,0.00252723
spmv_runtime_static,64,12,10,0.00228922
spmv_runtime_static,96,1,10,0.00324995
spmv_runtime_static,96,2,10,0.00428876
spmv_runtime_static,96,3,10,0.0044734
spmv_runtime_static,96,4,10,0.00433021
spmv_runtime_static,96,5,10,0.0037343
spmv_runtime_static,96,6,10,0.00441198
spmv_runtime_static,96,7,10,0.00411546
spmv_runtime_static,96,8,10,0.0052754
spmv_runtime_static,96,9,10,0.00362697
spmv_runtime_static,96,10,10,0.0037036
spmv_runtime_static,96,11,10,0.00368763
spmv_runtime_static,96,12,10,0.00400122
spmv_runtime_static,1,1,100,0.000270278
spmv_runtime_static,1,2,100,0.000233348
spmv_runtime_static,1,3,100,0.000288801
spmv_runtime_static,1,4,100,0.00024013
spmv_runtime_static,1,5,100,0.000230753
spmv_runtime_static,1,6,100,0.000291487
spmv_runtime_static,1,7,100,0.000252467
spmv_runtime_static,1,8,100,0.000295165
spmv_runtime_static,1,9,100,0.000270341
spmv_runtime_static,1,10,100,0.000265399
spmv_runtime_static,1,11,100,0.00025822
spmv_runtime_static,1,12,100,0.000270871
spmv_runtime_static,2,1,100,0.000217161
spmv_runtime_static,2,2,100,0.000249561
spmv_runtime_static,2,3,100,0.000306206
spmv_runtime_static,2,4,100,0.000256161
spmv_runtime_static,2,5,100,0.000299423
spmv_runtime_static,2,6,100,0.000230103
spmv_runtime_static,2,7,100,0.000284035
spmv_runtime_static,2,8,100,0.000259691
spmv_runtime_static,2,9,100,0.000260145
spmv_runtime_static,2,10,100,0.000270724
spmv_runtime_static,2,11,100,0.000248234
spmv_runtime_static,2,12,100,0.000257799
spmv_runtime_static,4,1,100,0.000269872
spmv_runtime_static,4,2,100,0.00648051
spmv_runtime_static,4,3,100,0.000239733
spmv_runtime_static,4,4,100,0.000287937
spmv_runtime_static,4,5,100,0.000228958
spmv_runtime_static,4,6,100,0.000261482
spmv_runtime_static,4,7,100,0.00031174
spmv_runtime_static,4,8,100,0.000249621
spmv_runtime_static,4,9,100,0.000850886
spmv_runtime_static,4,10,100,0.000255675
spmv_runtime_static,4,11,100,0.000320093
spmv_runtime_static,4,12,100,0.0002419
spmv_runtime_static,8,1,100,0.0168
spmv_runtime_static,8,2,100,0.0138735
spmv_runtime_static,8,3,100,0.0209738
spmv_runtime_static,8,4,100,0.0157762
spmv_runtime_static,8,5,100,0.0177815
spmv_runtime_static,8,6,100,0.0172319
spmv_runtime_static,8,7,100,0.0149519
spmv_runtime_static,8,8,100,0.0171776
spmv_runtime_static,8,9,100,0.00161639
spmv_runtime_static,8,10,100,0.00376478
spmv_runtime_static,8,11,100,0.00815041
spmv_runtime_static,8,12,100,0.00664523
spmv_runtime_static,16,1,100,0.0195684
spmv_runtime_static,16,2,100,0.0175011
spmv_runtime_static,16,3,100,0.0191098
spmv_runtime_static,16,4,100,0.00827233
spmv_runtime_static,16,5,100,0.0172414
spmv_runtime_static,16,6,100,0.0238915
spmv_runtime_static,16,7,100,0.0165478
spmv_runtime_static,16,8,100,0.0245535
spmv_runtime_static,16,9,100,0.0175487
spmv_runtime_static,16,10,100,0.021929
spmv_runtime_static,16,11,100,0.0232401
spmv_runtime_static,16,12,100,0.022987
spmv_runtime_static,32,1,100,0.00125439
spmv_runtime_static,32,2,100,0.00205108
spmv_runtime_static,32,3,100,0.00141787
spmv_runtime_static,32,4,100,0.00141859
spmv_runtime_static,32,5,100,0.00137951
spmv_runtime_static,32,6,100,0.00152645
spmv_runtime_static,32,7,100,0.00158633
spmv_runtime_static,32,8,100,0.0015592
spmv_runtime_static,32,9,100,0.00137773
spmv_runtime_static,32,10,100,0.00153956
spmv_runtime_static,32,11,100,0.00133278
spmv_runtime_static,32,12,100,0.00241609
spmv_runtime_static,64,1,100,0.00260203
spmv_runtime_static,64,2,100,0.00258956
spmv_runtime_static,64,3,100,0.00253741
spmv_runtime_static,64,4,100,0.00260816
spmv_runtime_static,64,5,100,0.00258581
spmv_runtime_static,64,6,100,0.00308597
spmv_runtime_static,64,7,100,0.00237499
spmv_runtime_static,64,8,100,0.00259107
spmv_runtime_static,64,9,100,0.00255694
spmv_runtime_static,64,10,100,0.00277146
spmv_runtime_static,64,11,100,0.00254725
spmv_runtime_static,64,12,100,0.00264128
spmv_runtime_static,96,1,100,0.00385755
spmv_runtime_static,96,2,100,0.00382848
spmv_runtime_static,96,3,100,0.00445287
spmv_runtime_static,96,4,100,0.00397917
spmv_runtime_static,96,5,100,0.00386993
spmv_runtime_static,96,6,100,0.0038833
spmv_runtime_static,96,7,100,0.00406944
spmv_runtime_static,96,8,100,0.00404223
spmv_runtime_static,96,9,100,0.00413481
spmv_runtime_static,96,10,100,0.00388441
spmv_runtime_static,96,11,100,0.00388731
spmv_runtime_static,96,12,100,0.00379985
spmv_runtime_static,1,1,1000,0.000280828
spmv_runtime_static,1,2,1000,0.000255682
spmv_runtime_static,1,3,1000,0.00027264
spmv_runtime_static,1,4,1000,0.000269773
spmv_runtime_static,1,5,1000,0.000261426
spmv_runtime_static,1,6,1000,0.00039079
spmv_runtime_static,1,7,1000,0.000283601
spmv_runtime_static,1,8,1000,0.000253829
spmv_runtime_static,1,9,1000,0.000262644
spmv_runtime_static,1,10,1000,0.000266441
spmv_runtime_static,1,11,1000,0.000268491
spmv_runtime_static,1,12,1000,0.000251662
spmv_runtime_static,2,1,1000,0.000278429
spmv_runtime_static,2,2,1000,0.000310753
spmv_runtime_static,2,3,1000,0.000366953
spmv_runtime_static,2,4,1000,0.000276625
spmv_runtime_static,2,5,1000,0.000263187
spmv_runtime_static,2,6,1000,0.000278381
spmv_runtime_static,2,7,1000,0.000304432
spmv_runtime_static,2,8,1000,0.000369095
spmv_runtime_static,2,9,1000,0.000267741
spmv_runtime_static,2,10,1000,0.000363121
spmv_runtime_static,2,11,1000,0.000281661
spmv_runtime_static,2,12,1000,0.000283015
spmv_runtime_static,4,1,1000,0.00038252
spmv_runtime_static,4,2,1000,0.000335387
spmv_runtime_static,4,3,1000,0.000347508
spmv_runtime_static,4,4,1000,0.000273033
spmv_runtime_static,4,5,1000,0.0090868
spmv_runtime_static,4,6,1000,0.00751362
spmv_runtime_static,4,7,1000,0.0089922
spmv_runtime_static,4,8,1000,0.00943737
spmv_runtime_static,4,9,1000,0.00787519
spmv_runtime_static,4,10,1000,0.00607586
spmv_runtime_static,4,11,1000,0.0112891
spmv_runtime_static,4,12,1000,0.0067867
spmv_runtime_static,8,1,1000,0.0136822
spmv_runtime_static,8,2,1000,0.018216
spmv_runtime_static,8,3,1000,0.00862519
spmv_runtime_static,8,4,1000,0.00929288
spmv_runtime_static,8,5,1000,0.00806102
spmv_runtime_static,8,6,1000,0.0125919
spmv_runtime_static,8,7,1000,0.00724013
spmv_runtime_static,8,8,1000,0.000396061
spmv_runtime_static,8,9,1000,0.00748035
spmv_runtime_static,8,10,1000,0.00643716
spmv_runtime_static,8,11,1000,0.00797364
spmv_runtime_static,8,12,1000,0.0107199
spmv_runtime_static,16,1,1000,0.0147108
spmv_runtime_static,16,2,1000,0.0163773
spmv_runtime_static,16,3,1000,0.02909
spmv_runtime_static,16,4,1000,0.012864
spmv_runtime_static,16,5,1000,0.0163253
spmv_runtime_static,16,6,1000,0.0244978
spmv_runtime_static,16,7,1000,0.031553
spmv_runtime_static,16,8,1000,0.0369435
spmv_runtime_static,16,9,1000,0.0329335
spmv_runtime_static,16,10,1000,0.0278605
spmv_runtime_static,16,11,1000,0.0320765
spmv_runtime_static,16,12,1000,0.0271827
spmv_runtime_static,32,1,1000,0.00131124
spmv_runtime_static,32,2,1000,0.00135753
spmv_runtime_static,32,3,1000,0.00133698
spmv_runtime_static,32,4,1000,0.00127599
spmv_runtime_static,32,5,1000,0.00131507
spmv_runtime_static,32,6,1000,0.00126695
spmv_runtime_static,32,7,1000,0.00173019
spmv_runtime_static,32,8,1000,0.00132681
spmv_runtime_static,32,9,1000,0.00152433
spmv_runtime_static,32,10,1000,0.00167278
spmv_runtime_static,32,11,1000,0.00162876
spmv_runtime_static,32,12,1000,0.00140688
spmv_runtime_static,64,1,1000,0.00187616
spmv_runtime_static,64,2,1000,0.00250943
spmv_runtime_static,64,3,1000,0.00309502
spmv_runtime_static,64,4,1000,0.00243005
spmv_runtime_static,64,5,1000,0.00271543
spmv_runtime_static,64,6,1000,0.00223884
spmv_runtime_static,64,7,1000,0.00188172
spmv_runtime_static,64,8,1000,0.00242913
spmv_runtime_static,64,9,1000,0.00222963
spmv_runtime_static,64,10,1000,0.00230612
spmv_runtime_static,64,11,1000,0.00190098
spmv_runtime_static,64,12,1000,0.00244547
spmv_runtime_static,96,1,1000,0.00363814
spmv_runtime_static,96,2,1000,0.00326983
spmv_runtime_static,96,3,1000,0.00383592
spmv_runtime_static,96,4,1000,0.00365454
spmv_runtime_static,96,5,1000,0.00318216
spmv_runtime_static,96,6,1000,0.00323049
spmv_runtime_static,96,7,1000,0.00318237
spmv_runtime_static,96,8,1000,0.00287066
spmv_runtime_static,96,9,1000,0.00314406
spmv_runtime_static,96,10,1000,0.00316238
spmv_runtime_static,96,11,1000,0.00308538
spmv_runtime_static,96,12,1000,0.00422062
spmv_runtime_static,1,1,10000,0.000236156
spmv_runtime_static,1,2,10000,0.000235479
spmv_runtime_static,1,3,10000,0.000245077
spmv_runtime_static,1,4,10000,0.000238001
spmv_runtime_static,1,5,10000,0.000247941
spmv_runtime_static,1,6,10000,0.000230347
spmv_runtime_static,1,7,10000,0.000284467
spmv_runtime_static,1,8,10000,0.000243843
spmv_runtime_static,1,9,10000,0.000257904
spmv_runtime_static,1,10,10000,0.000271471
spmv_runtime_static,1,11,10000,0.000264749
spmv_runtime_static,1,12,10000,0.00023624
spmv_runtime_static,2,1,10000,0.000422323
spmv_runtime_static,2,2,10000,0.000344211
spmv_runtime_static,2,3,10000,0.000550507
spmv_runtime_static,2,4,10000,0.000355846
spmv_runtime_static,2,5,10000,0.000363455
spmv_runtime_static,2,6,10000,0.000325512
spmv_runtime_static,2,7,10000,0.000353348
spmv_runtime_static,2,8,10000,0.000374043
spmv_runtime_static,2,9,10000,0.000386635
spmv_runtime_static,2,10,10000,0.000359185
spmv_runtime_static,2,11,10000,0.000426055
spmv_runtime_static,2,12,10000,0.000371668
spmv_runtime_static,4,1,10000,0.00100149
spmv_runtime_static,4,2,10000,0.0149607
spmv_runtime_static,4,3,10000,0.000441388
spmv_runtime_static,4,4,10000,0.00232716
spmv_runtime_static,4,5,10000,0.000844203
spmv_runtime_static,4,6,10000,0.000402563
spmv_runtime_static,4,7,10000,0.000745168
spmv_runtime_static,4,8,10000,0.000477343
spmv_runtime_static,4,9,10000,0.000394411
spmv_runtime_static,4,10,10000,0.0127414
spmv_runtime_static,4,11,10000,0.000403126
spmv_runtime_static,4,12,10000,0.00045923
spmv_runtime_static,8,1,10000,0.0207576
spmv_runtime_static,8,2,10000,0.0192055
spmv_runtime_static,8,3,10000,0.0184961
spmv_runtime_static,8,4,10000,0.0274114
spmv_runtime_static,8,5,10000,0.0244274
spmv_runtime_static,8,6,10000,0.0291639
spmv_runtime_static,8,7,10000,0.000558629
spmv_runtime_static,8,8,10000,0.013476
spmv_runtime_static,8,9,10000,0.00201042
spmv_runtime_static,8,10,10000,0.0130226
spmv_runtime_static,8,11,10000,0.0159329
spmv_runtime_static,8,12,10000,0.0162247
spmv_runtime_static,16,1,10000,0.0266067
spmv_runtime_static,16,2,10000,0.0115833
spmv_runtime_static,16,3,10000,0.00861899
spmv_runtime_static,16,4,10000,0.0177823
spmv_runtime_static,16,5,10000,0.0202982
spmv_runtime_static,16,6,10000,0.0230662
spmv_runtime_static,16,7,10000,0.0205368
spmv_runtime_static,16,8,10000,0.0231814
spmv_runtime_static,16,9,10000,0.0220726
spmv_runtime_static,16,10,10000,0.0255945
spmv_runtime_static,16,11,10000,0.0222477
spmv_runtime_static,16,12,10000,0.0159736
spmv_runtime_static,32,1,10000,0.00157285
spmv_runtime_static,32,2,10000,0.00170302
spmv_runtime_static,32,3,10000,0.00168933
spmv_runtime_static,32,4,10000,0.00161114
spmv_runtime_static,32,5,10000,0.00157476
spmv_runtime_static,32,6,10000,0.00166285
spmv_runtime_static,32,7,10000,0.00157156
spmv_runtime_static,32,8,10000,0.00193185
spmv_runtime_static,32,9,10000,0.00136141
spmv_runtime_static,32,10,10000,0.00177495
spmv_runtime_static,32,11,10000,0.00161871
spmv_runtime_static,32,12,10000,0.00197833
spmv_runtime_static,64,1,10000,0.00272638
spmv_runtime_static,64,2,10000,0.00289341
spmv_runtime_static,64,3,10000,0.00281285
spmv_runtime_static,64,4,10000,0.00327276
spmv_runtime_static,64,5,10000,0.00303772
spmv_runtime_static,64,6,10000,0.00318717
spmv_runtime_static,64,7,10000,0.00288496
spmv_runtime_static,64,8,10000,0.00271129
spmv_runtime_static,64,9,10000,0.00335829
spmv_runtime_static,64,10,10000,0.00387018
spmv_runtime_static,64,11,10000,0.00288814
spmv_runtime_static,64,12,10000,0.00306426
spmv_runtime_static,96,1,10000,0.0043513
spmv_runtime_static,96,2,10000,0.00405047
spmv_runtime_static,96,3,10000,0.00491793
spmv_runtime_static,96,4,10000,0.00386299
spmv_runtime_static,96,5,10000,0.00532621
spmv_runtime_static,96,6,10000,0.00406986
spmv_runtime_static,96,7,10000,0.00413557
spmv_runtime_static,96,8,10000,0.00473698
spmv_runtime_static,96,9,10000,0.00430431
spmv_runtime_static,96,10,10000,0.00400941
spmv_runtime_static,96,11,10000,0.00422136
spmv_runtime_static,96,12,10000,0.00414046
spmv_runtime_dynamic,1,1,10,0.000261404
spmv_runtime_dynamic,1,2,10,0.000265457
spmv_runtime_dynamic,1,3,10,0.000288067
spmv_runtime_dynamic,1,4,10,0.000279928
spmv_runtime_dynamic,1,5,10,0.000289498
spmv_runtime_dynamic,1,6,10,0.0003112
spmv_runtime_dynamic,1,7,10,0.00027024
spmv_runtime_dynamic,1,8,10,0.000298224
spmv_runtime_dynamic,1,9,10,0.00027697
spmv_runtime_dynamic,1,10,10,0.000262842
spmv_runtime_dynamic,1,11,10,0.000304391
spmv_runtime_dynamic,1,12,10,0.000281824
spmv_runtime_dynamic,2,1,10,0.000324839
spmv_runtime_dynamic,2,2,10,0.000343487
spmv_runtime_dynamic,2,3,10,0.000322481
spmv_runtime_dynamic,2,4,10,0.000346414
spmv_runtime_dynamic,2,5,10,0.000264879
spmv_runtime_dynamic,2,6,10,0.000310474
spmv_runtime_dynamic,2,7,10,0.000268236
spmv_runtime_dynamic,2,8,10,0.00034448
spmv_runtime_dynamic,2,9,10,0.000344838
spmv_runtime_dynamic,2,10,10,0.000276983
spmv_runtime_dynamic,2,11,10,0.000316485
spmv_runtime_dynamic,2,12,10,0.000252188
spmv_runtime_dynamic,4,1,10,0.000276948
spmv_runtime_dynamic,4,2,10,0.000275198
spmv_runtime_dynamic,4,3,10,0.00644584
spmv_runtime_dynamic,4,4,10,0.000382599
spmv_runtime_dynamic,4,5,10,0.000414636
spmv_runtime_dynamic,4,6,10,0.000843968
spmv_runtime_dynamic,4,7,10,0.000276858
spmv_runtime_dynamic,4,8,10,0.0030016
spmv_runtime_dynamic,4,9,10,0.000351285
spmv_runtime_dynamic,4,10,10,0.000640341
spmv_runtime_dynamic,4,11,10,0.000277779
spmv_runtime_dynamic,4,12,10,0.000296674
spmv_runtime_dynamic,8,1,10,0.0166975
spmv_runtime_dynamic,8,2,10,0.020144
spmv_runtime_dynamic,8,3,10,0.0168981
spmv_runtime_dynamic,8,4,10,0.0117309
spmv_runtime_dynamic,8,5,10,0.0153217
spmv_runtime_dynamic,8,6,10,0.00510231
spmv_runtime_dynamic,8,7,10,0.000713891
spmv_runtime_dynamic,8,8,10,0.0181969
spmv_runtime_dynamic,8,9,10,0.0171354
spmv_runtime_dynamic,8,10,10,0.0124256
spmv_runtime_dynamic,8,11,10,0.0152086
spmv_runtime_dynamic,8,12,10,0.0176837
spmv_runtime_dynamic,16,1,10,0.0329463
spmv_runtime_dynamic,16,2,10,0.0300013
spmv_runtime_dynamic,16,3,10,0.0260326
spmv_runtime_dynamic,16,4,10,0.0311773
spmv_runtime_dynamic,16,5,10,0.02342
spmv_runtime_dynamic,16,6,10,0.0305934
spmv_runtime_dynamic,16,7,10,0.0268283
spmv_runtime_dynamic,16,8,10,0.0193154
spmv_runtime_dynamic,16,9,10,0.0228025
spmv_runtime_dynamic,16,10,10,0.0287032
spmv_runtime_dynamic,16,11,10,0.0307345
spmv_runtime_dynamic,16,12,10,0.0244119
spmv_runtime_dynamic,32,1,10,0.0016439
spmv_runtime_dynamic,32,2,10,0.00133094
spmv_runtime_dynamic,32,3,10,0.00253767
spmv_runtime_dynamic,32,4,10,0.001166
spmv_runtime_dynamic,32,5,10,0.0013788
spmv_runtime_dynamic,32,6,10,0.00147962
spmv_runtime_dynamic,32,7,10,0.00139081
spmv_runtime_dynamic,32,8,10,0.00156505
spmv_runtime_dynamic,32,9,10,0.0013468
spmv_runtime_dynamic,32,10,10,0.00115723
spmv_runtime_dynamic,32,11,10,0.00126282
spmv_runtime_dynamic,32,12,10,0.0015038
spmv_runtime_dynamic,64,1,10,0.00305701
spmv_runtime_dynamic,64,2,10,0.00206437
spmv_runtime_dynamic,64,3,10,0.00239035
spmv_runtime_dynamic,64,4,10,0.00241817
spmv_runtime_dynamic,64,5,10,0.00317942
spmv_runtime_dynamic,64,6,10,0.00231609
spmv_runtime_dynamic,64,7,10,0.0026221
spmv_runtime_dynamic,64,8,10,0.00218569
spmv_runtime_dynamic,64,9,10,0.00210793
spmv_runtime_dynamic,64,10,10,0.00206493
spmv_runtime_dynamic,64,11,10,0.00275038
spmv_runtime_dynamic,64,12,10,0.00235119
spmv_runtime_dynamic,96,1,10,0.00327283
spmv_runtime_dynamic,96,2,10,0.00303804
spmv_runtime_dynamic,96,3,10,0.00351543
spmv_runtime_dynamic,96,4,10,0.00428828
spmv_runtime_dynamic,96,5,10,0.00313735
