Executable,Threads,Run,ChunkSize,Time
spmv_sequential,1,1,NA,0.000461934
spmv_sequential,1,2,NA,0.000463068
spmv_sequential,1,3,NA,0.00046435
spmv_sequential,1,4,NA,0.000459141
spmv_sequential,1,5,NA,0.000465437
spmv_sequential,1,6,NA,0.000469051
spmv_sequential,1,7,NA,0.000467636
spmv_sequential,1,8,NA,0.000452993
spmv_sequential,1,9,NA,0.000458871
spmv_sequential,1,10,NA,0.000490828
spmv_sequential,1,11,NA,0.000472972
spmv_sequential,1,12,NA,0.000474311
spmv_static,1,1,NA,0.000492615
spmv_static,1,2,NA,0.00051016
spmv_static,1,3,NA,0.000557066
spmv_static,1,4,NA,0.000536937
spmv_static,1,5,NA,0.000512605
spmv_static,1,6,NA,0.000502788
spmv_static,1,7,NA,0.000490201
spmv_static,1,8,NA,0.000497423
spmv_static,1,9,NA,0.000490639
spmv_static,1,10,NA,0.00048562
spmv_static,1,11,NA,0.000535626
spmv_static,1,12,NA,0.00050198
spmv_static,2,1,NA,0.00051878
spmv_static,2,2,NA,0.00101584
spmv_static,2,3,NA,0.00100377
spmv_static,2,4,NA,0.000998902
spmv_static,2,5,NA,0.00100493
spmv_static,2,6,NA,0.000960344
spmv_static,2,7,NA,0.000973068
spmv_static,2,8,NA,0.000956759
spmv_static,2,9,NA,0.000965636
spmv_static,2,10,NA,0.000967778
spmv_static,2,11,NA,0.000969396
spmv_static,2,12,NA,0.00101414
spmv_static,4,1,NA,0.000677252
spmv_static,4,2,NA,0.000657001
spmv_static,4,3,NA,0.000695261
spmv_static,4,4,NA,0.000674213
spmv_static,4,5,NA,0.000578898
spmv_static,4,6,NA,0.000514282
spmv_static,4,7,NA,0.0006753
spmv_static,4,8,NA,0.000690016
spmv_static,4,9,NA,0.000648783
spmv_static,4,10,NA,0.0006752
spmv_static,4,11,NA,0.000672692
spmv_static,4,12,NA,0.000671473
spmv_static,8,1,NA,0.000583436
spmv_static,8,2,NA,0.000476943
spmv_static,8,3,NA,0.000518904
spmv_static,8,4,NA,0.000533417
spmv_static,8,5,NA,0.000486402
spmv_static,8,6,NA,0.000527945
spmv_static,8,7,NA,0.000534934
spmv_static,8,8,NA,0.000516269
spmv_static,8,9,NA,0.000588908
spmv_static,8,10,NA,0.000479188
spmv_static,8,11,NA,0.000586476
spmv_static,8,12,NA,0.000632682
spmv_static,16,1,NA,0.000709315
spmv_static,16,2,NA,0.000621955
spmv_static,16,3,NA,0.000554617
spmv_static,16,4,NA,0.000654692
spmv_static,16,5,NA,0.000651091
spmv_static,16,6,NA,0.00059388
spmv_static,16,7,NA,0.000595542
spmv_static,16,8,NA,0.00744335
spmv_static,16,9,NA,0.000841076
spmv_static,16,10,NA,0.000590831
spmv_static,16,11,NA,0.000623656
spmv_static,16,12,NA,0.000671316
spmv_static,32,1,NA,0.000909428
spmv_static,32,2,NA,0.000758004
spmv_static,32,3,NA,0.00108291
spmv_static,32,4,NA,0.000878763
spmv_static,32,5,NA,0.000822945
spmv_static,32,6,NA,0.00097166
spmv_static,32,7,NA,0.000915578
spmv_static,32,8,NA,0.000922546
spmv_static,32,9,NA,0.00089433
spmv_static,32,10,NA,0.000940146
spmv_static,32,11,NA,0.000868664
spmv_static,32,12,NA,0.000817675
spmv_static,64,1,NA,0.00184502
spmv_static,64,2,NA,0.0015389
spmv_static,64,3,NA,0.00148697
spmv_static,64,4,NA,0.00144962
spmv_static,64,5,NA,0.0017911
spmv_static,64,6,NA,0.00176788
spmv_static,64,7,NA,0.00172418
spmv_static,64,8,NA,0.00173839
spmv_static,64,9,NA,0.0121423
spmv_static,64,10,NA,0.001578
spmv_static,64,11,NA,0.00142333
spmv_static,64,12,NA,0.00147693
spmv_manual,1,1,NA,0.000453244
spmv_manual,1,2,NA,0.000474893
spmv_manual,1,3,NA,0.000464201
spmv_manual,1,4,NA,0.000473906
spmv_manual,1,5,NA,0.0004545
spmv_manual,1,6,NA,0.000537374
spmv_manual,1,7,NA,0.000457218
spmv_manual,1,8,NA,0.00047508
spmv_manual,1,9,NA,0.00047558
spmv_manual,1,10,NA,0.00045951
spmv_manual,1,11,NA,0.000501239
spmv_manual,1,12,NA,0.000490672
spmv_manual,2,1,NA,0.000955719
spmv_manual,2,2,NA,0.000945112
spmv_manual,2,3,NA,0.000946608
spmv_manual,2,4,NA,0.000972142
spmv_manual,2,5,NA,0.000925431
spmv_manual,2,6,NA,0.000972405
spmv_manual,2,7,NA,0.000993531
spmv_manual,2,8,NA,0.000947727
spmv_manual,2,9,NA,0.000954266
spmv_manual,2,10,NA,0.00099092
spmv_manual,2,11,NA,0.000990725
spmv_manual,2,12,NA,0.000950692
spmv_manual,4,1,NA,0.000625448
spmv_manual,4,2,NA,0.000591115
spmv_manual,4,3,NA,0.000599594
spmv_manual,4,4,NA,0.000603969
spmv_manual,4,5,NA,0.000632027
spmv_manual,4,6,NA,0.00062182
spmv_manual,4,7,NA,0.000641555
spmv_manual,4,8,NA,0.000589909
spmv_manual,4,9,NA,0.000614234
spmv_manual,4,10,NA,0.000641043
spmv_manual,4,11,NA,0.000593734
spmv_manual,4,12,NA,0.000674031
spmv_manual,8,1,NA,0.000441825
spmv_manual,8,2,NA,0.00045676
spmv_manual,8,3,NA,0.000518858
spmv_manual,8,4,NA,0.000476629
spmv_manual,8,5,NA,0.000513213
spmv_manual,8,6,NA,0.000465268
spmv_manual,8,7,NA,0.000434179
spmv_manual,8,8,NA,0.000497116
spmv_manual,8,9,NA,0.00048893
spmv_manual,8,10,NA,0.000492333
spmv_manual,8,11,NA,0.000472276
spmv_manual,8,12,NA,0.000503536
spmv_manual,16,1,NA,0.000577342
spmv_manual,16,2,NA,0.000767692
spmv_manual,16,3,NA,0.000663655
spmv_manual,16,4,NA,0.000598879
spmv_manual,16,5,NA,0.000676873
spmv_manual,16,6,NA,0.000749333
spmv_manual,16,7,NA,0.000588454
spmv_manual,16,8,NA,0.000751897
spmv_manual,16,9,NA,0.000644769
spmv_manual,16,10,NA,0.000625441
spmv_manual,16,11,NA,0.000657956
spmv_manual,16,12,NA,0.000597753
spmv_manual,32,1,NA,0.000835012
spmv_manual,32,2,NA,0.000906286
spmv_manual,32,3,NA,0.00107006
spmv_manual,32,4,NA,0.000880516
spmv_manual,32,5,NA,0.000889855
spmv_manual,32,6,NA,0.000831021
spmv_manual,32,7,NA,0.0010538
spmv_manual,32,8,NA,0.000761395
spmv_manual,32,9,NA,0.000794088
spmv_manual,32,10,NA,0.0015141
spmv_manual,32,11,NA,0.000905475
spmv_manual,32,12,NA,0.000709913
spmv_manual,64,1,NA,0.00162106
spmv_manual,64,2,NA,0.00121993
spmv_manual,64,3,NA,0.00143365
spmv_manual,64,4,NA,0.00134444
spmv_manual,64,5,NA,0.00177
spmv_manual,64,6,NA,0.00139762
spmv_manual,64,7,NA,0.00157339
spmv_manual,64,8,NA,0.00131683
spmv_manual,64,9,NA,0.00152105
spmv_manual,64,10,NA,0.00150761
spmv_manual,64,11,NA,0.00125361
spmv_manual,64,12,NA,0.00127405
